抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-15 09:35:49,新浪,sh600584,长电科技,66.65,0.32,0.482,66.65,66.66,66.33,65.79,66.98,65.77,4874288.0,324459151.0,09:35:12,600584
2026-09-15 09:35:49,新浪,sh603019,中科曙光,81.95,-0.02,-0.024,81.89,81.95,81.97,81.6,82.08,81.6,897717.0,73427955.0,09:35:15,603019
2026-09-15 09:35:49,新浪,sh603083,剑桥科技,219.09,0.21,0.096,219.09,219.16,218.88,217.69,221.98,216.03,1663055.0,363028325.0,09:35:17,603083
2026-09-15 09:35:49,新浪,sh603893,瑞芯微,178.88,0.13,0.073,178.88,178.99,178.75,180.0,180.5,178.44,530200.0,95145214.0,09:35:16,603893
2026-09-15 09:35:49,新浪,sz000988,华工科技,100.07,0.07,0.07,100.04,100.07,100.0,99.84,100.48,98.88,3765700.0,375301849.0,09:35:30,000988
2026-09-15 09:35:49,新浪,sz001309,德明利,389.0,1.1,0.284,388.88,389.0,387.9,385.04,389.78,385.04,779847.0,301850599.0,09:35:24,001309
2026-09-15 09:35:49,新浪,sz002008,大族激光,94.11,1.83,1.983,94.08,94.11,92.28,91.61,94.38,91.61,3601214.0,335619255.0,09:35:24,002008
2026-09-15 09:35:49,新浪,sz002156,通富微电,57.13,0.35,0.616,57.12,57.13,56.78,56.77,57.18,56.58,2917748.0,165998867.0,09:35:27,002156
2026-09-15 09:35:49,新浪,sz002222,福晶科技,64.23,-0.34,-0.527,64.2,64.24,64.57,63.88,64.99,63.66,1370680.0,88046789.0,09:35:24,002222
2026-09-15 09:35:49,新浪,sz002273,水晶光电,24.44,-0.02,-0.082,24.43,24.44,24.46,24.31,24.6,24.24,1246112.0,30413825.0,09:35:30,002273
2026-09-15 09:35:49,新浪,sz002281,光迅科技,170.91,-0.9,-0.524,170.97,170.98,171.81,170.14,171.0,167.59,2800700.0,474366323.0,09:35:30,002281
2026-09-15 09:35:49,新浪,sz002384,东山精密,188.1,2.99,1.615,188.07,188.1,185.11,185.82,188.5,185.01,6834317.0,1277551270.0,09:35:33,002384
2026-09-15 09:35:49,新浪,sz002463,沪电股份,129.82,4.12,3.278,129.81,129.85,125.7,125.7,129.88,125.67,5218563.0,669134852.0,09:35:33,002463
2026-09-15 09:35:49,新浪,sz002475,立讯精密,53.13,0.35,0.663,53.12,53.13,52.78,52.35,53.15,52.35,5195215.0,274633842.0,09:35:33,002475
2026-09-15 09:35:49,新浪,sz002484,江海股份,59.24,1.11,1.91,59.24,59.28,58.13,57.94,59.3,57.68,3956400.0,231673919.0,09:35:33,002484
2026-09-15 09:35:49,新浪,sz002709,天赐材料,33.03,-0.01,-0.03,33.02,33.03,33.04,32.71,33.2,32.71,3373393.0,111279300.0,09:35:27,002709
2026-09-15 09:35:49,新浪,sz002837,英维克,60.9,0.89,1.483,60.9,60.95,60.01,59.81,61.15,59.79,2837890.0,171566306.0,09:35:27,002837
2026-09-15 09:35:49,新浪,sz300260,新莱应材,53.32,-0.23,-0.43,53.32,53.4,53.55,53.18,53.44,52.69,701014.0,37266553.0,09:35:33,300260
2026-09-15 09:35:49,新浪,sz300274,阳光电源,84.83,-0.15,-0.177,84.81,84.83,84.98,84.58,84.94,84.19,2519624.0,213217119.0,09:35:30,300274
2026-09-15 09:35:49,新浪,sz300394,天孚通信,256.2,-0.76,-0.296,256.2,256.31,256.96,255.53,259.93,253.13,3172280.0,812111937.0,09:35:30,300394
2026-09-15 09:35:49,新浪,sz300395,菲利华,97.15,2.15,2.263,97.12,97.15,95.0,95.0,97.18,94.37,2663803.0,257321492.0,09:35:30,300395
2026-09-15 09:35:49,新浪,sz300475,香农芯创,163.16,1.78,1.103,163.18,163.29,161.38,161.38,163.88,160.03,1922196.0,311621618.0,09:35:30,300475
2026-09-15 09:35:49,新浪,sz300499,高澜股份,38.1,1.4,3.815,38.05,38.1,36.7,37.66,38.47,36.97,9785201.0,369049427.0,09:35:30,300499
2026-09-15 09:35:49,新浪,sz300502,新易盛,402.3,0.4,0.1,402.3,402.45,401.9,402.0,404.15,398.77,2186185.0,877663387.0,09:35:30,300502
2026-09-15 09:35:49,新浪,sz300570,太辰光,198.13,-0.17,-0.086,198.03,198.17,198.3,196.33,198.17,194.06,1192428.0,234105138.0,09:35:30,300570
2026-09-15 09:35:49,新浪,sz300602,飞荣达,37.82,0.26,0.692,37.82,37.83,37.56,37.39,37.83,37.1,1075400.0,40212682.0,09:35:30,300602
2026-09-15 09:35:49,新浪,sz300666,江丰电子,239.13,2.03,0.856,239.08,239.32,237.1,234.83,239.3,234.0,852296.0,201316253.0,09:35:30,300666
2026-09-15 09:35:49,新浪,sz301308,江波龙,331.62,0.61,0.184,331.16,331.62,331.01,331.0,331.99,328.24,620610.0,205010577.0,09:35:42,301308
