股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
000988,华工科技,2023-01-03,15.73,16.35,16.42,15.73,145638.0,0.014499999999999999,245869000.0
000988,华工科技,2023-01-04,16.35,16.34,16.49,16.16,82197.0,0.008199999999999999,140104200.0
000988,华工科技,2023-01-05,16.4,16.48,16.55,16.21,111677.0,0.0111,190418000.0
000988,华工科技,2023-01-06,16.42,16.48,16.65,16.38,82042.0,0.008199999999999999,141299700.0
000988,华工科技,2023-01-09,16.5,16.58,16.67,16.48,83613.0,0.0083,144607200.0
000988,华工科技,2023-01-10,16.55,16.41,16.65,16.34,78587.0,0.0078000000000000005,134652600.0
000988,华工科技,2023-01-11,16.41,16.61,16.87,16.4,117711.0,0.011699999999999999,204470900.0
000988,华工科技,2023-01-12,16.6,16.65,16.75,16.53,60629.0,0.006,105136100.0
000988,华工科技,2023-01-13,16.65,16.69,16.75,16.58,52540.0,0.0052,91178700.00000001
000988,华工科技,2023-01-16,16.68,16.83,17.03,16.66,120378.0,0.012,211889800.0
000988,华工科技,2023-01-17,16.9,17.38,17.4,16.84,189412.0,0.018799999999999997,338956100.0
000988,华工科技,2023-01-18,17.38,17.51,17.59,17.29,145657.0,0.014499999999999999,264504900.00000003
000988,华工科技,2023-01-19,17.42,18.07,18.15,17.4,183725.0,0.0183,342944000.0
000988,华工科技,2023-01-20,18.06,18.0,18.24,17.86,123838.0,0.0123,231823200.0
000988,华工科技,2023-01-30,18.25,18.12,18.4,18.05,139283.0,0.0139,263240099.99999997
000988,华工科技,2023-01-31,18.06,18.06,18.23,17.97,101067.0,0.0101,190060600.0
000988,华工科技,2023-02-01,18.26,18.4,18.49,18.18,145306.0,0.014499999999999999,277403500.0
000988,华工科技,2023-02-02,18.5,18.33,18.59,18.3,118480.0,0.0118,226963600.0
000988,华工科技,2023-02-03,18.33,18.49,18.54,18.15,126627.0,0.0126,241243200.0
000988,华工科技,2023-02-06,18.38,18.48,18.71,18.38,86257.0,0.0086,165777300.0
000988,华工科技,2023-02-07,18.56,18.98,19.14,18.51,175095.0,0.0174,343846400.0
000988,华工科技,2023-02-08,19.06,18.6,19.2,18.57,139852.0,0.0139,272798100.0
000988,华工科技,2023-02-09,18.48,19.39,19.46,18.4,203435.0,0.0202,403034900.0
000988,华工科技,2023-02-10,19.2,19.12,19.76,18.89,255506.0,0.0254,510548900.0
000988,华工科技,2023-02-13,19.12,19.06,19.24,18.91,158205.0,0.015700000000000002,312712500.0
000988,华工科技,2023-02-14,19.12,19.12,19.34,19.06,127693.0,0.0127,253898500.0
000988,华工科技,2023-02-15,19.06,19.43,19.57,19.01,160141.0,0.0159,320252300.0
000988,华工科技,2023-02-16,19.42,19.12,19.8,18.87,234997.0,0.023399999999999997,472337600.0
000988,华工科技,2023-02-17,19.12,18.7,19.25,18.63,164093.0,0.0163,320623100.0
000988,华工科技,2023-02-20,18.77,19.17,19.25,18.51,132516.0,0.0132,260397000.0
000988,华工科技,2023-02-21,19.17,19.0,19.24,18.85,96637.0,0.0096,190831300.0
000988,华工科技,2023-02-22,18.93,19.22,19.32,18.91,106424.0,0.0106,210952100.0
000988,华工科技,2023-02-23,19.3,19.11,19.5,18.96,127857.0,0.0127,253972700.0
000988,华工科技,2023-02-24,19.11,19.08,19.26,18.93,101804.0,0.0101,201344300.0
000988,华工科技,2023-02-27,18.98,19.08,19.27,18.89,118615.0,0.0118,234958700.0
000988,华工科技,2023-02-28,19.2,19.22,19.45,18.97,197403.0,0.0196,392338399.99999994
000988,华工科技,2023-03-01,19.65,20.32,20.47,19.5,501815.0,0.0499,1042113300.0
