股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
001309,德明利,2023-01-03,20.24,21.07,21.14,20.07,1596700.0,0.07980000000000001,87563700.00000001
001309,德明利,2023-01-04,21.14,21.48,21.96,20.72,2556400.0,0.1278,142967500.0
001309,德明利,2023-01-05,21.43,21.74,22.11,20.87,2435800.0,0.12179999999999999,138719200.0
001309,德明利,2023-01-06,21.63,21.4,21.87,21.11,1849500.0,0.0925,104621600.0
001309,德明利,2023-01-09,21.23,21.85,21.87,21.23,1738600.0,0.08689999999999999,99271200.00000001
001309,德明利,2023-01-10,22.32,22.36,23.14,22.04,2540800.0,0.127,150943300.0
001309,德明利,2023-01-11,22.25,22.92,23.37,21.85,2868100.0,0.1434,171441800.0
001309,德明利,2023-01-12,22.92,22.99,23.25,22.58,1706100.0,0.08529999999999999,102840200.0
001309,德明利,2023-01-13,23.34,23.72,23.92,22.86,2080300.0,0.10400000000000001,128038700.00000001
001309,德明利,2023-01-16,23.68,23.83,24.06,23.3,1591100.0,0.0796,99271299.99999999
001309,德明利,2023-01-17,23.88,24.5,24.91,23.57,2264700.0,0.11320000000000001,144144100.0
001309,德明利,2023-01-18,23.97,24.01,24.48,22.66,2797800.0,0.1399,174262300.0
001309,德明利,2023-01-19,24.17,26.48,26.48,23.97,4405000.0,0.2202,300188700.0
001309,德明利,2023-01-20,26.47,26.97,28.19,26.09,4728300.0,0.2364,337043500.0
001309,德明利,2023-01-30,27.26,26.35,27.45,25.98,2547200.0,0.1274,176424100.0
001309,德明利,2023-01-31,25.93,25.34,26.24,24.91,2690300.0,0.13449999999999998,179349400.0
001309,德明利,2023-02-01,25.32,25.38,25.54,25.03,2491700.0,0.1246,164863500.0
001309,德明利,2023-02-02,25.61,24.95,25.65,24.92,2896300.0,0.1448,191460600.0
001309,德明利,2023-02-03,24.79,24.91,25.1,24.23,2036000.0,0.1018,131794599.99999999
001309,德明利,2023-02-06,25.19,24.39,25.65,24.34,1443500.0,0.0722,93731200.00000001
001309,德明利,2023-02-07,24.36,24.45,24.66,24.15,1527500.0,0.0764,97756100.0
001309,德明利,2023-02-08,24.45,23.7,25.01,23.6,1968500.0,0.0984,124652800.0
001309,德明利,2023-02-09,23.57,25.13,25.85,23.39,3192800.0,0.15960000000000002,206534700.0
001309,德明利,2023-02-10,25.26,25.85,26.48,24.99,4148600.0,0.20739999999999997,280050200.0
001309,德明利,2023-02-13,25.63,25.58,26.03,24.92,2200000.0,0.11,146843700.0
001309,德明利,2023-02-14,25.54,24.92,25.76,24.92,1401900.0,0.0701,92798500.0
001309,德明利,2023-02-15,24.75,24.61,25.12,24.32,1502300.0,0.0751,96909599.99999999
001309,德明利,2023-02-16,24.79,23.87,25.04,23.77,1466800.0,0.0733,93932900.00000001
001309,德明利,2023-02-17,23.77,23.03,23.95,23.03,1231400.0,0.0616,75716600.0
001309,德明利,2023-02-20,22.91,23.4,23.4,22.55,884300.0,0.044199999999999996,53344700.0
001309,德明利,2023-02-21,23.4,23.24,23.57,22.79,738900.0,0.0369,45051100.0
001309,德明利,2023-02-22,23.22,23.29,23.42,22.97,628300.0,0.031400000000000004,38341700.0
001309,德明利,2023-02-23,23.19,22.81,23.35,22.71,870400.0,0.0435,52607800.0
001309,德明利,2023-02-24,22.91,22.97,23.18,22.79,649100.0,0.0325,39257100.0
001309,德明利,2023-02-27,23.03,23.26,23.33,22.55,889800.0,0.044500000000000005,53741300.0
001309,德明利,2023-02-28,23.21,23.22,23.49,22.79,637400.0,0.0319,38878500.0
001309,德明利,2023-03-01,23.18,23.91,23.92,23.03,1315100.0,0.0658,81611600.0
001309,德明利,2023-03-02,23.92,23.15,24.06,23.12,1147000.0,0.0574,70930900.0
001309,德明利,2023-03-03,23.57,24.55,25.14,23.33,2475900.0,0.12380000000000001,157339400.0
001309,德明利,2023-03-06,24.16,25.11,25.34,23.98,2417100.0,0.1209,157364500.0
001309,德明利,2023-03-07,25.56,24.72,25.88,24.58,2167400.0,0.1084,142815900.0
001309,德明利,2023-03-08,24.37,25.88,26.2,24.35,3016500.0,0.1508,202146200.0
001309,德明利,2023-03-09,25.88,25.87,26.68,25.45,3067900.0,0.1534,209582000.0
001309,德明利,2023-03-10,25.3,25.46,26.09,25.03,1948200.0,0.0974,130230400.00000001
001309,德明利,2023-03-13,25.35,25.3,25.52,24.79,1373200.0,0.0687,90504300.0
001309,德明利,2023-03-14,25.22,26.31,26.32,24.6,2646800.0,0.1323,178166800.0
001309,德明利,2023-03-15,26.16,25.32,26.78,25.15,3212300.0,0.1606,218098300.00000003
001309,德明利,2023-03-16,24.82,24.48,25.3,24.37,1779600.0,0.08900000000000001,115536200.00000001
001309,德明利,2023-03-17,24.75,25.25,25.73,24.66,2140700.0,0.107,141686500.0
001309,德明利,2023-03-20,25.54,25.4,26.04,25.14,2143400.0,0.1072,143827400.0
001309,德明利,2023-03-21,25.22,25.57,25.66,24.87,1414600.0,0.0707,94033900.0
001309,德明利,2023-03-22,25.66,25.28,25.66,25.14,1277400.0,0.0639,84850500.0
001309,德明利,2023-03-23,25.33,26.55,26.56,25.23,3740900.0,0.187,254983400.0
001309,德明利,2023-03-24,26.35,25.51,27.18,25.14,3712500.0,0.1856,252953400.0
001309,德明利,2023-03-27,25.71,26.77,27.33,25.71,4267500.0,0.2134,297110400.0
001309,德明利,2023-03-28,26.34,25.21,26.43,25.16,3023800.0,0.1512,203313100.0
001309,德明利,2023-03-29,25.08,27.81,27.81,24.61,5890900.0,0.2945,409235199.99999994
001309,德明利,2023-03-30,28.63,30.67,30.67,28.63,6444900.0,0.3222,505758399.99999994
001309,德明利,2023-03-31,32.2,31.22,33.64,30.25,9296000.0,0.4648,770927100.0000001
001309,德明利,2023-04-03,32.68,31.23,33.78,31.2,8104600.0,0.4052,678161100.0
