股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002008,大族激光,2023-01-03,24.72,25.19,25.2,24.33,9716800.0,0.009899999999999999,251078500.0
002008,大族激光,2023-01-04,25.11,25.1,25.27,24.89,7341800.0,0.0075,191203900.0
002008,大族激光,2023-01-05,25.16,25.24,25.28,25.03,10550700.0,0.0108,275871400.0
002008,大族激光,2023-01-06,25.22,25.45,25.62,25.09,12018700.0,0.0123,316987200.0
002008,大族激光,2023-01-09,25.45,25.38,25.62,25.34,9720900.0,0.009899999999999999,256514900.00000003
002008,大族激光,2023-01-10,25.36,25.16,25.49,25.11,9509700.0,0.0097,248786100.0
002008,大族激光,2023-01-11,25.16,24.82,25.35,24.72,11587400.0,0.0118,300853900.0
002008,大族激光,2023-01-12,24.91,24.92,25.23,24.84,7737700.0,0.0079,200876900.0
002008,大族激光,2023-01-13,24.99,25.12,25.14,24.77,7971100.0,0.008100000000000001,206315300.0
002008,大族激光,2023-01-16,25.12,25.6,25.84,25.06,18106000.0,0.018500000000000003,479919900.0
002008,大族激光,2023-01-17,25.62,25.8,25.92,25.61,11151600.0,0.011399999999999999,298106800.0
002008,大族激光,2023-01-18,25.82,26.1,26.28,25.74,12639700.0,0.0129,340929600.0
002008,大族激光,2023-01-19,26.14,26.51,26.56,26.0,14763200.0,0.0151,402484100.00000006
002008,大族激光,2023-01-20,26.71,26.53,26.91,26.35,15300200.0,0.015600000000000001,421014600.0
002008,大族激光,2023-01-30,27.09,26.91,27.33,26.85,24114400.0,0.0246,674149900.0
002008,大族激光,2023-01-31,26.96,27.01,27.15,26.76,16615800.0,0.017,462920899.99999994
002008,大族激光,2023-02-01,27.08,27.39,27.39,26.92,18991100.0,0.0194,534808200.0
002008,大族激光,2023-02-02,27.52,27.69,28.13,27.24,30132900.0,0.0308,863845000.0
002008,大族激光,2023-02-03,27.56,27.85,27.97,27.04,24392500.0,0.024900000000000002,694203100.0
002008,大族激光,2023-02-06,27.56,27.46,27.75,27.25,17479200.0,0.0179,496554700.0
002008,大族激光,2023-02-07,27.75,29.56,30.3,27.74,71770900.0,0.0733,2168743700.0
002008,大族激光,2023-02-08,29.26,28.54,29.28,28.47,41670800.0,0.0426,1237589400.0
002008,大族激光,2023-02-09,28.37,29.61,29.98,28.28,40740000.0,0.0416,1226399400.0
002008,大族激光,2023-02-10,29.28,29.38,30.25,29.27,33938300.0,0.0347,1039648900.0
002008,大族激光,2023-02-13,29.34,29.52,29.63,28.94,24618200.0,0.025099999999999997,743185300.0
002008,大族激光,2023-02-14,29.54,29.22,29.55,28.95,19189700.0,0.0196,577901600.0
002008,大族激光,2023-02-15,29.21,29.49,29.61,28.91,24239700.0,0.0248,733056900.0
002008,大族激光,2023-02-16,29.53,29.26,30.16,28.88,41267500.0,0.0421,1265264100.0
002008,大族激光,2023-02-17,29.38,28.53,29.57,28.52,26624700.0,0.027200000000000002,794240900.0
002008,大族激光,2023-02-20,28.51,28.96,29.05,28.3,17604400.0,0.018000000000000002,522394900.0
002008,大族激光,2023-02-21,28.86,29.0,29.34,28.67,13989600.0,0.0143,418898500.0
002008,大族激光,2023-02-22,28.77,28.91,29.15,28.67,13660700.0,0.013999999999999999,406960400.0
002008,大族激光,2023-02-23,28.89,28.64,29.01,28.49,11329300.0,0.0116,335867600.0
002008,大族激光,2023-02-24,28.61,28.34,28.91,28.3,11036100.0,0.0113,325276000.0
002008,大族激光,2023-02-27,28.17,28.01,28.42,27.96,11957300.0,0.012199999999999999,347554000.0
002008,大族激光,2023-02-28,28.16,28.41,28.61,27.88,10859800.0,0.0111,317257400.0
002008,大族激光,2023-03-01,28.28,28.56,28.68,28.11,15014300.0,0.015300000000000001,442043900.0
002008,大族激光,2023-03-02,28.66,28.84,29.16,28.54,18985300.0,0.0194,565932900.0
002008,大族激光,2023-03-03,28.99,28.69,29.11,28.25,13115000.0,0.0134,387482300.00000006
002008,大族激光,2023-03-06,28.66,29.03,29.24,28.42,18393500.0,0.018799999999999997,548657700.0
002008,大族激光,2023-03-07,28.98,27.63,28.98,27.61,24103400.0,0.0246,702086400.0
002008,大族激光,2023-03-08,27.46,27.94,27.99,27.4,9772400.0,0.01,280394900.0
002008,大族激光,2023-03-09,27.94,27.42,28.66,26.92,25532900.0,0.026099999999999998,733525700.0000001
002008,大族激光,2023-03-10,27.34,27.27,27.51,27.07,11857300.0,0.0121,334766300.0
002008,大族激光,2023-03-13,27.18,27.32,27.47,26.82,15442800.0,0.0158,434544200.0
002008,大族激光,2023-03-14,27.17,27.1,27.25,26.49,14096400.0,0.0144,392965700.0
002008,大族激光,2023-03-15,27.17,27.75,28.26,27.17,19105900.0,0.0195,549591300.0
002008,大族激光,2023-03-16,27.52,26.78,27.61,26.75,16574700.0,0.0169,464386900.0
002008,大族激光,2023-03-17,27.06,27.31,27.66,27.06,15769900.0,0.0161,446252800.0
002008,大族激光,2023-03-20,27.31,27.56,28.02,27.31,14142600.0,0.0144,403681000.0
002008,大族激光,2023-03-21,27.63,27.96,27.98,27.39,11859300.0,0.0121,341096900.0
002008,大族激光,2023-03-22,28.03,28.7,28.75,27.96,22572700.0,0.0231,663160000.0
002008,大族激光,2023-03-23,28.68,30.35,30.45,28.56,55073600.0,0.0562,1697841900.0
002008,大族激光,2023-03-24,30.14,30.21,30.55,29.89,29321500.0,0.029900000000000003,911989299.9999999
002008,大族激光,2023-03-27,30.21,30.41,30.72,29.83,27664700.0,0.028300000000000002,863262899.9999999
002008,大族激光,2023-03-28,30.47,29.13,30.52,29.12,27119000.0,0.0277,828014100.0
002008,大族激光,2023-03-29,29.52,29.33,29.73,28.98,15604500.0,0.0159,473390400.0
