股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002156,通富微电,2023-01-03,16.26,16.52,16.62,16.06,34189500.0,0.025699999999999997,568073300.0
002156,通富微电,2023-01-04,16.67,17.16,18.13,16.66,59312600.0,0.0446,1036275600.0
002156,通富微电,2023-01-05,16.88,17.02,17.22,16.78,36457800.0,0.0274,627402300.0
002156,通富微电,2023-01-06,16.89,16.96,17.32,16.85,37219100.0,0.027999999999999997,643527300.0
002156,通富微电,2023-01-09,17.02,17.07,17.33,16.93,29452500.0,0.0222,511456200.0
002156,通富微电,2023-01-10,17.11,17.48,17.62,17.11,51173200.0,0.0385,904661600.0
002156,通富微电,2023-01-11,17.35,17.54,18.22,17.28,62092200.0,0.0467,1118678300.0
002156,通富微电,2023-01-12,17.37,17.2,17.41,17.02,31741400.0,0.0239,554505700.0
002156,通富微电,2023-01-13,17.46,17.16,17.46,17.02,23266500.0,0.0175,404925100.0
002156,通富微电,2023-01-16,16.95,17.34,17.52,16.9,29184900.0,0.022000000000000002,511800600.0
002156,通富微电,2023-01-17,17.34,17.56,17.93,17.32,38226200.0,0.0288,684397600.0
002156,通富微电,2023-01-18,17.52,17.56,17.66,17.4,22532000.0,0.017,400234100.00000006
002156,通富微电,2023-01-19,17.44,18.05,18.09,17.42,43022600.0,0.032400000000000005,778983700.0
002156,通富微电,2023-01-20,17.98,18.12,18.28,17.9,33233300.0,0.025,609040600.0
002156,通富微电,2023-01-30,18.67,18.36,18.75,18.17,49768000.0,0.0375,928436000.0
002156,通富微电,2023-01-31,18.37,18.09,18.43,17.92,37252000.0,0.027999999999999997,682706799.9999999
002156,通富微电,2023-02-01,18.11,19.06,19.62,18.09,88054000.0,0.0663,1693084000.0
002156,通富微电,2023-02-02,19.37,19.09,19.45,18.99,67133300.0,0.050499999999999996,1305210900.0
002156,通富微电,2023-02-03,18.98,19.27,19.35,18.79,44155100.0,0.0332,852549400.0
002156,通富微电,2023-02-06,19.07,18.98,19.33,18.79,35094100.0,0.0264,675912400.0
002156,通富微电,2023-02-07,18.9,18.81,18.97,18.62,31660200.0,0.023799999999999998,601513100.0
002156,通富微电,2023-02-08,18.81,18.45,19.19,18.37,35608600.0,0.0268,676093800.0
002156,通富微电,2023-02-09,18.3,19.57,19.85,18.22,89115500.0,0.06709999999999999,1735430600.0
002156,通富微电,2023-02-10,19.58,19.51,20.17,19.42,70617200.0,0.053099999999999994,1408822600.0
002156,通富微电,2023-02-13,19.64,20.93,21.12,19.49,106108700.0,0.07980000000000001,2175792100.0
002156,通富微电,2023-02-14,21.47,21.88,23.05,21.43,187926100.0,0.1414,4249987600.0
002156,通富微电,2023-02-15,22.32,22.51,22.7,21.47,130317300.0,0.0981,2910860700.0
002156,通富微电,2023-02-16,22.27,21.3,22.87,21.1,129986100.0,0.0978,2900436500.0
002156,通富微电,2023-02-17,21.67,20.4,21.73,20.34,80311300.0,0.0604,1684110700.0
002156,通富微电,2023-02-20,20.65,22.46,22.46,20.24,103151200.0,0.0776,2224485600.0
002156,通富微电,2023-02-21,22.17,22.07,22.58,21.68,82722800.0,0.0623,1850774100.0
002156,通富微电,2023-02-22,21.76,22.41,22.96,21.43,80716100.0,0.060700000000000004,1816397600.0
002156,通富微电,2023-02-23,22.23,22.32,22.95,22.04,75535600.0,0.056799999999999996,1714162000.0
002156,通富微电,2023-02-24,22.62,23.45,23.97,22.25,133172100.0,0.1002,3115220800.0
002156,通富微电,2023-02-27,22.99,22.39,23.52,22.03,96466100.0,0.0726,2205894500.0
002156,通富微电,2023-02-28,22.18,22.12,22.7,21.67,65227500.0,0.049100000000000005,1457973200.0
002156,通富微电,2023-03-01,21.83,22.85,23.15,21.76,76509100.0,0.0576,1749166400.0000002
002156,通富微电,2023-03-02,22.64,21.8,22.89,21.73,60420300.0,0.0455,1356848800.0
002156,通富微电,2023-03-03,22.96,24.0,24.0,22.96,172109300.0,0.1295,4125496700.0
002156,通富微电,2023-03-06,23.76,23.07,23.76,22.81,123078100.0,0.0926,2873947400.0
002156,通富微电,2023-03-07,22.77,21.98,22.85,21.86,98610400.0,0.0742,2219840600.0
002156,通富微电,2023-03-08,21.78,22.33,22.46,21.37,87222300.0,0.06559999999999999,1931012800.0
002156,通富微电,2023-03-09,22.18,22.26,22.92,21.89,74397400.0,0.055999999999999994,1689560500.0
002156,通富微电,2023-03-10,21.77,21.45,22.43,21.44,63543200.0,0.0478,1407354900.0
002156,通富微电,2023-03-13,21.27,22.12,22.17,21.19,54906100.0,0.041299999999999996,1214303000.0
