股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002222,福晶科技,2023-01-03,13.52,13.95,14.05,13.5,9739300.0,0.0229,157816100.0
002222,福晶科技,2023-01-04,13.96,13.95,14.16,13.85,6013000.0,0.0141,98190200.0
002222,福晶科技,2023-01-05,14.01,14.09,14.15,13.87,6150300.0,0.014499999999999999,100844800.0
002222,福晶科技,2023-01-06,13.98,14.01,14.2,13.9,6315100.0,0.0148,103540800.0
002222,福晶科技,2023-01-09,14.1,14.02,14.19,13.92,5316100.0,0.0125,87137800.0
002222,福晶科技,2023-01-10,14.05,14.1,14.17,13.95,5372600.0,0.0126,88196100.0
002222,福晶科技,2023-01-11,14.15,13.88,14.2,13.85,5205700.0,0.012199999999999999,85352200.0
002222,福晶科技,2023-01-12,14.1,14.0,14.1,13.76,4265500.0,0.01,69595400.0
002222,福晶科技,2023-01-13,13.96,13.84,14.0,13.69,4729700.0,0.0111,76418400.0
002222,福晶科技,2023-01-16,13.79,14.05,14.16,13.76,6870300.0,0.0161,112660000.0
002222,福晶科技,2023-01-17,14.13,14.07,14.25,14.02,4832900.0,0.011399999999999999,79620700.0
002222,福晶科技,2023-01-18,14.1,14.09,14.15,14.03,4116500.0,0.0097,67691600.0
002222,福晶科技,2023-01-19,14.1,14.35,14.37,13.99,6405900.0,0.0151,106552800.0
002222,福晶科技,2023-01-20,14.3,14.34,14.56,14.25,6755700.0,0.0159,113326400.0
002222,福晶科技,2023-01-30,14.48,14.46,14.78,14.38,8906500.0,0.0209,150946100.0
002222,福晶科技,2023-01-31,14.47,14.71,14.72,14.39,8730300.0,0.020499999999999997,148672300.0
002222,福晶科技,2023-02-01,14.67,14.78,14.85,14.59,7307800.0,0.0172,125222900.00000001
002222,福晶科技,2023-02-02,14.78,14.74,15.09,14.73,10249400.0,0.0241,177292900.0
002222,福晶科技,2023-02-03,14.76,14.85,15.05,14.58,9803600.0,0.023,168769600.0
002222,福晶科技,2023-02-06,14.86,14.92,15.1,14.7,10145900.0,0.023799999999999998,176314199.99999997
002222,福晶科技,2023-02-07,14.93,15.21,15.29,14.91,10764500.0,0.0253,189689700.0
