股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002273,水晶光电,2023-01-03,10.6,11.05,11.09,10.5,18793900.0,0.0139,226857700.0
002273,水晶光电,2023-01-04,11.01,10.89,11.2,10.78,13435300.0,0.009899999999999999,162724500.0
002273,水晶光电,2023-01-05,10.91,11.04,11.15,10.81,16296300.0,0.012,198989800.0
002273,水晶光电,2023-01-06,11.04,11.14,11.19,10.94,14252800.0,0.0105,175093300.00000003
002273,水晶光电,2023-01-09,11.16,11.21,11.31,11.14,12994600.0,0.0096,161434900.0
002273,水晶光电,2023-01-10,11.18,11.21,11.29,11.11,11152900.0,0.008199999999999999,138222400.0
002273,水晶光电,2023-01-11,11.21,11.26,11.41,11.17,15451000.0,0.011399999999999999,193360600.0
002273,水晶光电,2023-01-12,11.21,11.29,11.35,11.11,8075100.0,0.006,100418200.0
002273,水晶光电,2023-01-13,11.26,11.19,11.28,11.06,8186400.0,0.0060999999999999995,101144599.99999999
002273,水晶光电,2023-01-16,11.21,11.37,11.39,11.17,14619500.0,0.0108,182866300.0
002273,水晶光电,2023-01-17,11.33,11.49,11.57,11.29,14045800.0,0.0104,177728800.0
002273,水晶光电,2023-01-18,11.47,11.45,11.53,11.35,8469900.0,0.0063,107137000.0
002273,水晶光电,2023-01-19,11.44,11.56,11.57,11.39,10118100.0,0.0075,128594900.0
002273,水晶光电,2023-01-20,11.61,11.58,11.73,11.41,21469800.0,0.0159,274448500.0
002273,水晶光电,2023-01-30,11.76,11.64,11.86,11.53,27879500.0,0.0206,358197100.0
002273,水晶光电,2023-01-31,11.62,11.47,11.67,11.46,19436000.0,0.0144,246853100.0
002273,水晶光电,2023-02-01,11.51,11.71,11.77,11.5,24764500.0,0.0183,318262000.0
002273,水晶光电,2023-02-02,11.76,11.69,11.89,11.67,21763200.0,0.0161,282132200.0
002273,水晶光电,2023-02-03,11.71,11.85,11.93,11.56,24099400.0,0.0178,312291000.0
002273,水晶光电,2023-02-06,11.71,11.58,11.89,11.5,25521100.0,0.0189,327240000.0
002273,水晶光电,2023-02-07,11.7,12.02,12.11,11.67,39187200.0,0.028999999999999998,514538500.0
