股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002281,光迅科技,2023-01-03,15.06,15.56,15.61,14.98,3757100.0,0.005600000000000001,60200300.0
002281,光迅科技,2023-01-04,15.56,15.62,15.68,15.48,2485500.0,0.0037,40410200.0
002281,光迅科技,2023-01-05,15.64,15.67,15.68,15.52,2330200.0,0.0034999999999999996,37949100.0
002281,光迅科技,2023-01-06,15.67,15.67,15.74,15.58,2566200.0,0.0038,41941100.0
002281,光迅科技,2023-01-09,15.72,15.61,15.82,15.57,2171500.0,0.0032,35524900.0
002281,光迅科技,2023-01-10,15.62,15.59,15.7,15.54,2079300.0,0.0031,33851800.0
002281,光迅科技,2023-01-11,15.57,15.5,15.77,15.44,2341600.0,0.0034999999999999996,38068800.0
002281,光迅科技,2023-01-12,15.5,15.56,15.63,15.44,1548300.0,0.0023,25125100.000000004
002281,光迅科技,2023-01-13,15.55,15.59,15.66,15.49,1837300.0,0.0027,29840600.0
002281,光迅科技,2023-01-16,15.57,15.81,15.94,15.54,3305400.0,0.0049,54542000.0
002281,光迅科技,2023-01-17,15.75,15.94,15.97,15.74,3164200.0,0.004699999999999999,52442000.0
002281,光迅科技,2023-01-18,15.93,16.02,16.05,15.89,2823400.0,0.0042,47026700.0
002281,光迅科技,2023-01-19,15.94,16.25,16.3,15.93,3391500.0,0.005,57040800.0
002281,光迅科技,2023-01-20,16.32,16.37,16.48,16.24,4367800.0,0.006500000000000001,74443900.0
002281,光迅科技,2023-01-30,16.59,16.5,16.78,16.5,5778800.0,0.0086,99862300.0
002281,光迅科技,2023-01-31,16.52,16.7,16.79,16.44,4767800.0,0.0070999999999999995,82676100.0
002281,光迅科技,2023-02-01,16.8,17.11,17.13,16.71,6842300.0,0.0101,120675700.0
002281,光迅科技,2023-02-02,17.41,17.83,18.69,17.33,24650600.0,0.0366,457451200.0
002281,光迅科技,2023-02-03,17.79,18.21,18.48,17.73,23015300.0,0.0341,433524500.0
002281,光迅科技,2023-02-06,18.52,19.25,19.53,18.23,29753400.0,0.0441,585695600.0
002281,光迅科技,2023-02-07,18.84,19.32,19.91,18.7,35124600.0,0.0521,705791300.0
002281,光迅科技,2023-02-08,19.15,18.49,19.52,18.42,27610300.0,0.040999999999999995,536571700.0
002281,光迅科技,2023-02-09,18.37,19.68,19.76,18.31,33095400.0,0.049100000000000005,657335000.0
002281,光迅科技,2023-02-10,19.91,21.72,21.72,19.23,60129200.0,0.0892,1258999000.0
002281,光迅科技,2023-02-13,22.83,22.74,23.58,22.22,88679500.0,0.1315,2086431700.0000002
002281,光迅科技,2023-02-14,22.43,22.52,23.29,22.25,56876100.0,0.08439999999999999,1334154100.0
002281,光迅科技,2023-02-15,22.21,23.14,23.5,22.02,58664900.0,0.087,1375652700.0
002281,光迅科技,2023-02-16,22.53,21.55,22.95,21.32,60914800.0,0.0904,1386870900.0
002281,光迅科技,2023-02-17,21.33,20.31,21.55,20.15,39094700.0,0.057999999999999996,835131900.0
002281,光迅科技,2023-02-20,20.55,21.11,21.25,20.41,32362600.0,0.048,698979600.0000001
002281,光迅科技,2023-02-21,21.08,20.83,21.18,20.54,24122400.0,0.0358,518772300.00000006
002281,光迅科技,2023-02-22,20.68,20.86,21.07,20.36,19446800.0,0.0288,416577800.0
002281,光迅科技,2023-02-23,20.78,21.06,21.5,20.73,30291500.0,0.0449,662425800.0
002281,光迅科技,2023-02-24,21.18,21.42,22.1,21.17,32841200.0,0.0487,733243900.0
002281,光迅科技,2023-02-27,21.27,21.19,21.9,21.04,23359900.0,0.0347,515132699.99999994
002281,光迅科技,2023-02-28,21.63,21.66,21.98,21.33,24427200.0,0.0362,544544300.0
002281,光迅科技,2023-03-01,21.35,22.12,22.41,21.35,32307100.0,0.0479,732468600.0
002281,光迅科技,2023-03-02,22.2,22.47,23.12,22.19,36448300.0,0.0541,849500100.0
002281,光迅科技,2023-03-03,22.23,22.1,22.25,21.67,28449100.0,0.042199999999999994,645720200.0
002281,光迅科技,2023-03-06,21.99,22.59,23.23,21.93,36852200.0,0.0547,865113600.0
002281,光迅科技,2023-03-07,22.52,21.54,22.78,21.33,30567100.0,0.0453,691861300.0
002281,光迅科技,2023-03-08,21.38,22.32,22.53,21.38,29006300.0,0.043,662988200.0000001
002281,光迅科技,2023-03-09,22.28,22.08,22.29,21.63,21636900.0,0.0321,488501700.0
002281,光迅科技,2023-03-10,21.74,21.77,22.43,21.73,19013600.0,0.0282,431946600.00000006
002281,光迅科技,2023-03-13,21.89,22.47,22.47,21.83,23325300.0,0.0346,534173000.0
002281,光迅科技,2023-03-14,22.61,22.02,22.78,21.82,25407800.0,0.0377,582419400.0
002281,光迅科技,2023-03-15,22.11,21.59,22.25,21.49,20230300.0,0.03,453857300.00000006
002281,光迅科技,2023-03-16,21.38,21.37,21.81,21.29,15476400.0,0.023,344038700.0
002281,光迅科技,2023-03-17,21.59,22.33,22.61,21.51,33408300.0,0.0496,765411200.0
002281,光迅科技,2023-03-20,22.56,22.54,23.29,22.27,33187500.0,0.0492,777467400.0
002281,光迅科技,2023-03-21,22.4,22.57,22.77,22.03,20455700.0,0.0304,471857400.0
002281,光迅科技,2023-03-22,22.53,24.89,24.89,22.36,59794800.0,0.08869999999999999,1481594300.0
002281,光迅科技,2023-03-23,25.23,25.12,25.69,24.37,80725500.0,0.1198,2073591700.0000002
002281,光迅科技,2023-03-24,25.23,25.48,25.53,24.43,58425300.0,0.0867,1501999400.0
002281,光迅科技,2023-03-27,25.33,26.81,26.83,25.08,65267700.0,0.0968,1740685500.0
002281,光迅科技,2023-03-28,26.33,25.03,26.53,25.03,51531800.0,0.0765,1364815900.0
002281,光迅科技,2023-03-29,25.03,25.49,26.16,25.01,44694100.0,0.0663,1178024300.0
002281,光迅科技,2023-03-30,25.53,24.91,25.72,24.64,34018900.0,0.050499999999999996,877391500.0
002281,光迅科技,2023-03-31,24.92,25.33,25.45,24.33,33853300.0,0.050199999999999995,869220399.9999999
002281,光迅科技,2023-04-03,25.64,27.29,27.7,25.64,62035400.0,0.09210000000000002,1697589700.0
002281,光迅科技,2023-04-04,27.1,27.16,27.92,26.73,56852700.0,0.08439999999999999,1593086800.0
002281,光迅科技,2023-04-06,26.33,27.84,29.01,26.23,62879400.0,0.0933,1810143800.0
002281,光迅科技,2023-04-07,27.84,27.74,27.99,27.08,36250900.0,0.0538,1023684400.0
002281,光迅科技,2023-04-10,28.1,26.77,28.92,26.43,49869000.0,0.07400000000000001,1418996099.9999998
002281,光迅科技,2023-04-11,26.43,26.23,26.93,25.71,38784000.0,0.0576,1044022899.9999999
002281,光迅科技,2023-04-12,26.23,27.18,27.51,25.59,35401200.0,0.0525,974896799.9999999
002281,光迅科技,2023-04-13,27.02,25.55,27.06,25.42,35912400.0,0.0533,958432700.0
002281,光迅科技,2023-04-14,25.54,25.68,25.74,24.61,29938000.0,0.0444,777758500.0
002281,光迅科技,2023-04-17,25.43,25.19,25.43,24.66,21341000.0,0.0317,548684400.0
002281,光迅科技,2023-04-18,25.15,26.36,27.0,25.04,42475200.0,0.063,1136555800.0
002281,光迅科技,2023-04-19,26.4,28.05,29.03,26.27,66842500.0,0.0992,1903443299.9999998
002281,光迅科技,2023-04-20,28.31,29.36,29.74,28.21,58849100.0,0.0873,1755611800.0
002281,光迅科技,2023-04-21,29.48,27.67,29.59,27.51,47624700.0,0.0707,1382695000.0
002281,光迅科技,2023-04-24,27.92,27.98,28.82,27.43,39411800.0,0.058499999999999996,1132463100.0
002281,光迅科技,2023-04-25,27.63,27.09,27.63,26.33,37977300.0,0.0564,1048047100.0000001
002281,光迅科技,2023-04-26,25.33,24.31,25.63,24.31,47294900.0,0.0701,1200549200.0
002281,光迅科技,2023-04-27,23.1,22.51,23.47,22.04,43635300.0,0.0647,1019839400.0
002281,光迅科技,2023-04-28,22.51,23.28,23.53,22.46,29187400.0,0.0433,696052600.0
002281,光迅科技,2023-05-04,23.02,22.18,23.38,21.93,26824200.0,0.0398,617281400.0
002281,光迅科技,2023-05-05,22.18,21.88,22.61,21.63,19315000.0,0.0286,440093600.0
002281,光迅科技,2023-05-08,22.2,24.14,24.14,21.9,38618200.0,0.057300000000000004,933958100.0
002281,光迅科技,2023-05-09,23.66,23.59,25.1,23.57,37228800.0,0.0552,928187800.0
002281,光迅科技,2023-05-10,23.84,22.75,24.32,22.57,23811600.0,0.0353,569272500.0
002281,光迅科技,2023-05-11,22.75,22.31,23.08,22.28,15564200.0,0.0231,360869600.0
002281,光迅科技,2023-05-12,22.36,22.21,22.96,22.21,20384600.0,0.0302,472990000.0
002281,光迅科技,2023-05-15,22.07,22.35,22.56,21.4,19471300.0,0.028900000000000002,439969300.0
002281,光迅科技,2023-05-16,22.21,21.72,22.36,21.62,15952300.0,0.023700000000000002,359641800.0
002281,光迅科技,2023-05-17,21.72,23.96,23.96,21.63,32809500.0,0.0487,768798200.0000001
002281,光迅科技,2023-05-18,24.01,26.42,26.42,24.01,70789200.0,0.105,1848953299.9999998
002281,光迅科技,2023-05-19,25.97,25.0,26.15,24.92,54713500.0,0.0803,1428410200.0
002281,光迅科技,2023-05-22,25.19,25.26,25.73,24.76,32592500.0,0.0479,844034100.0
002281,光迅科技,2023-05-23,25.04,24.54,25.59,24.36,28855700.0,0.0424,737655500.0
002281,光迅科技,2023-05-24,24.39,24.78,25.53,24.21,38574400.0,0.056600000000000004,994497700.0
002281,光迅科技,2023-05-25,25.64,25.39,26.01,24.44,40870400.0,0.06,1060057800.0
002281,光迅科技,2023-05-26,24.99,26.33,27.07,24.84,51376500.0,0.0754,1383350700.0
002281,光迅科技,2023-05-29,26.25,26.01,27.05,25.77,43387300.0,0.0637,1175369600.0
002281,光迅科技,2023-05-30,25.37,27.59,28.35,25.15,52403000.0,0.07690000000000001,1432929900.0
002281,光迅科技,2023-05-31,27.14,27.06,27.53,26.33,40275200.0,0.0591,1106910100.0
002281,光迅科技,2023-06-01,26.6,26.85,27.7,26.38,32020100.0,0.047,887816200.0
002281,光迅科技,2023-06-02,26.83,26.54,27.2,26.33,25982200.0,0.0382,711725500.0
002281,光迅科技,2023-06-05,26.33,26.59,27.12,26.23,22630600.0,0.0332,619357400.0
002281,光迅科技,2023-06-06,26.33,25.35,26.71,25.28,29012600.0,0.0426,771041400.0
002281,光迅科技,2023-06-07,25.78,26.69,27.09,25.16,38550100.0,0.056600000000000004,1042587899.9999999
