股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002463,沪电股份,2023-01-03,10.23,10.96,11.1,10.16,43782400.0,0.0231,542537300.0
002463,沪电股份,2023-01-04,10.97,10.65,11.19,10.61,26693900.0,0.0141,332422400.0
002463,沪电股份,2023-01-05,10.66,10.83,10.93,10.61,21101400.0,0.0111,262874600.0
002463,沪电股份,2023-01-06,10.82,10.78,10.95,10.71,15906200.0,0.0084,198553600.0
002463,沪电股份,2023-01-09,10.75,10.76,10.92,10.66,13886500.0,0.0073,172559300.0
002463,沪电股份,2023-01-10,10.77,10.88,10.96,10.72,15453100.0,0.008199999999999999,193764500.0
002463,沪电股份,2023-01-11,10.83,10.72,11.01,10.69,17911400.0,0.009399999999999999,224015600.0
002463,沪电股份,2023-01-12,10.74,10.84,10.87,10.54,15301600.0,0.008100000000000001,189563300.00000003
002463,沪电股份,2023-01-13,10.83,10.62,10.87,10.5,21739000.0,0.0115,266718300.00000003
002463,沪电股份,2023-01-16,10.61,10.75,10.82,10.54,19548200.0,0.0103,241618300.00000003
002463,沪电股份,2023-01-17,10.8,11.0,11.03,10.75,25243500.0,0.013300000000000001,318341400.0
002463,沪电股份,2023-01-18,10.91,10.88,11.0,10.83,13298500.0,0.006999999999999999,166682000.0
002463,沪电股份,2023-01-19,10.88,11.0,11.01,10.83,14101000.0,0.0074,177743600.0
002463,沪电股份,2023-01-20,10.99,11.08,11.17,10.97,14304600.0,0.0075,181997100.0
002463,沪电股份,2023-01-30,11.24,11.07,11.31,11.05,18888500.0,0.01,241961800.0
002463,沪电股份,2023-01-31,11.05,11.07,11.14,10.95,14926000.0,0.0079,189737700.0
002463,沪电股份,2023-02-01,11.94,12.34,12.34,11.73,55181800.0,0.0291,765113900.0
002463,沪电股份,2023-02-02,12.45,12.43,12.9,12.18,115734900.0,0.0611,1638485200.0
002463,沪电股份,2023-02-03,12.35,12.45,12.6,12.26,50877600.0,0.0268,716423800.0
002463,沪电股份,2023-02-06,12.35,12.11,12.35,12.03,39661200.0,0.0209,547327000.0
002463,沪电股份,2023-02-07,12.11,12.2,12.38,12.08,30001500.0,0.0158,415617200.0
002463,沪电股份,2023-02-08,12.2,12.16,12.5,12.11,31605400.0,0.0167,440136600.00000006
002463,沪电股份,2023-02-09,12.32,13.33,13.54,12.05,101717300.0,0.0537,1488323700.0
002463,沪电股份,2023-02-10,13.24,13.85,14.6,13.16,148733700.0,0.0785,2330546100.0
002463,沪电股份,2023-02-13,13.8,13.98,14.16,13.48,74362700.0,0.0392,1152100800.0
002463,沪电股份,2023-02-14,13.87,13.9,14.26,13.7,44527600.0,0.0235,694217600.0
002463,沪电股份,2023-02-15,13.9,14.83,15.19,13.73,86426000.0,0.045599999999999995,1401972800.0
002463,沪电股份,2023-02-16,14.66,14.15,15.01,14.12,82665000.0,0.0436,1335301000.0
002463,沪电股份,2023-02-17,14.28,13.61,14.35,13.6,62849800.0,0.0332,968874200.0
002463,沪电股份,2023-02-20,13.61,14.09,14.15,13.58,44944200.0,0.023700000000000002,699923700.0
002463,沪电股份,2023-02-21,13.95,13.97,14.52,13.85,42505500.0,0.022400000000000003,672332000.0
002463,沪电股份,2023-02-22,13.95,14.27,14.34,13.85,37360100.0,0.0197,592494700.0
002463,沪电股份,2023-02-23,14.27,13.84,14.33,13.75,34926400.0,0.0184,545316900.0
002463,沪电股份,2023-02-24,13.82,13.96,14.3,13.82,36002700.0,0.019,565155600.0
002463,沪电股份,2023-02-27,13.96,14.15,14.23,13.75,39758300.0,0.021,623598400.0
002463,沪电股份,2023-02-28,14.24,14.75,15.53,14.24,76751100.0,0.0405,1270494600.0
002463,沪电股份,2023-03-01,14.76,14.93,15.17,14.47,46084000.0,0.024300000000000002,762209500.0
002463,沪电股份,2023-03-02,14.85,14.76,15.09,14.69,23802400.0,0.0126,393201100.0
002463,沪电股份,2023-03-03,14.75,14.44,14.88,14.16,33731700.0,0.0178,543213000.0
002463,沪电股份,2023-03-06,14.42,14.43,14.6,14.25,24534200.0,0.0129,393715500.0
002463,沪电股份,2023-03-07,14.3,13.46,14.39,13.36,66415400.0,0.035,1021896000.0
002463,沪电股份,2023-03-08,13.42,14.02,14.04,13.41,41958700.0,0.022099999999999998,648773600.0
002463,沪电股份,2023-03-09,13.97,13.96,14.07,13.75,20390900.0,0.0108,317733100.0
002463,沪电股份,2023-03-10,13.83,13.85,14.1,13.65,20501500.0,0.0108,319165800.0
002463,沪电股份,2023-03-13,13.73,14.04,14.11,13.7,17881600.0,0.009399999999999999,278620500.0
002463,沪电股份,2023-03-14,13.94,13.71,13.95,13.32,31419500.0,0.0166,479830500.0
002463,沪电股份,2023-03-15,13.86,13.64,14.03,13.62,18552500.0,0.0098,286391900.0
002463,沪电股份,2023-03-16,13.58,13.38,13.71,13.31,18358800.0,0.0097,277788300.0
002463,沪电股份,2023-03-17,13.49,13.84,14.05,13.48,29754500.0,0.015700000000000002,461657000.0
002463,沪电股份,2023-03-20,13.76,15.3,15.39,13.76,110372000.0,0.0582,1854186099.9999998
002463,沪电股份,2023-03-21,15.27,15.66,16.05,15.23,83113500.0,0.0438,1442159300.0
002463,沪电股份,2023-03-22,15.97,17.39,17.39,15.9,109045200.0,0.0575,2015715799.9999998
002463,沪电股份,2023-03-23,17.9,19.29,19.29,17.85,153290300.0,0.0809,3148333700.0
002463,沪电股份,2023-03-24,19.58,19.95,20.1,18.73,160721700.0,0.0848,3387390600.0
002463,沪电股份,2023-03-27,19.58,20.92,21.3,19.57,161978900.0,0.08539999999999999,3584144400.0
002463,沪电股份,2023-03-28,20.02,19.35,20.43,19.19,121769400.0,0.0642,2607778600.0
002463,沪电股份,2023-03-29,19.16,19.5,20.31,19.16,119631900.0,0.06309999999999999,2559783400.0
002463,沪电股份,2023-03-30,19.16,19.49,19.94,18.99,80868700.0,0.0426,1708797500.0
002463,沪电股份,2023-03-31,19.15,19.84,20.03,18.65,89043700.0,0.047,1876593599.9999998
002463,沪电股份,2023-04-03,19.72,20.84,21.23,19.41,199950800.0,0.1054,4376435400.0
002463,沪电股份,2023-04-04,20.55,21.76,22.71,19.55,183707400.0,0.0969,4159197400.0
002463,沪电股份,2023-04-06,21.71,24.1,24.1,21.35,105314200.0,0.0555,2634294600.0
002463,沪电股份,2023-04-07,24.15,23.46,24.35,22.19,119159100.0,0.06280000000000001,2955525000.0
002463,沪电股份,2023-04-10,22.68,22.48,24.68,22.17,118733400.0,0.0626,2950707400.0
002463,沪电股份,2023-04-11,21.64,21.98,23.16,21.55,85389300.0,0.045,2044402000.0
002463,沪电股份,2023-04-12,21.85,22.25,23.06,21.37,90400500.0,0.04769999999999999,2161790300.0
002463,沪电股份,2023-04-13,21.75,20.8,21.82,20.57,115471900.0,0.060899999999999996,2619142100.0
002463,沪电股份,2023-04-14,20.85,20.64,21.04,19.9,71683900.0,0.0378,1588802200.0
002463,沪电股份,2023-04-17,20.58,20.68,20.95,20.2,65333400.0,0.0345,1453736000.0
002463,沪电股份,2023-04-18,20.3,21.42,22.22,19.85,116360100.0,0.061399999999999996,2652638900.0
002463,沪电股份,2023-04-19,21.22,22.05,22.53,21.06,110136500.0,0.0581,2603414300.0
002463,沪电股份,2023-04-20,22.15,24.42,24.42,22.05,139708800.0,0.07339999999999999,3539726500.0
002463,沪电股份,2023-04-21,24.83,22.86,24.85,22.45,108349000.0,0.056900000000000006,2735582300.0
002463,沪电股份,2023-04-24,22.9,23.32,23.85,22.78,78694400.0,0.041299999999999996,1965733900.0000002
002463,沪电股份,2023-04-25,22.81,22.7,23.76,22.08,67750700.0,0.0356,1662507000.0
002463,沪电股份,2023-04-26,22.71,20.66,23.39,20.36,122267500.0,0.0642,2796706700.0
002463,沪电股份,2023-04-27,20.32,20.28,21.16,19.95,66850900.0,0.0351,1467843200.0
002463,沪电股份,2023-04-28,20.08,20.43,21.7,20.03,70256500.0,0.0369,1572076099.9999998
002463,沪电股份,2023-05-04,20.25,18.95,20.72,18.67,98035400.0,0.051500000000000004,2028970000.0
002463,沪电股份,2023-05-05,18.96,18.75,19.27,18.12,60662800.0,0.0319,1225175800.0
002463,沪电股份,2023-05-08,18.66,19.47,20.1,18.37,74841500.0,0.0393,1568397300.0
002463,沪电股份,2023-05-09,19.86,21.0,21.57,19.86,95145100.0,0.05,2154631900.0
002463,沪电股份,2023-05-10,20.52,19.38,21.15,18.8,91145100.0,0.0479,1933574800.0
002463,沪电股份,2023-05-11,19.5,18.93,19.79,18.75,49567100.0,0.026000000000000002,1021752000.0
002463,沪电股份,2023-05-12,18.89,18.46,19.19,18.3,47938300.0,0.0252,963439400.0
002463,沪电股份,2023-05-15,18.52,18.03,18.96,17.35,78817300.0,0.0414,1522834600.0
002463,沪电股份,2023-05-16,17.94,17.0,18.04,16.59,120987300.0,0.0635,2252958100.0
002463,沪电股份,2023-05-17,16.98,16.9,17.47,16.69,64533900.0,0.0339,1195638500.0
002463,沪电股份,2023-05-18,17.25,18.24,18.74,17.13,149489000.0,0.0785,2957725100.0
002463,沪电股份,2023-05-19,18.06,17.72,19.45,17.54,109929500.0,0.057699999999999994,2183053200.0
002463,沪电股份,2023-05-22,17.5,17.18,17.72,16.9,59243200.0,0.0311,1108690900.0
002463,沪电股份,2023-05-23,17.24,16.44,17.35,16.36,61849700.0,0.0325,1122528700.0
002463,沪电股份,2023-05-24,16.44,16.66,17.03,15.84,75122700.0,0.0395,1348492600.0
002463,沪电股份,2023-05-25,17.88,17.6,18.35,17.0,122130300.0,0.0641,2334953400.0
002463,沪电股份,2023-05-26,17.55,18.42,18.83,17.4,102696800.0,0.053899999999999997,2035227300.0
002463,沪电股份,2023-05-29,18.86,16.88,19.43,16.85,178555400.0,0.09380000000000001,3505170600.0
002463,沪电股份,2023-05-30,16.36,17.49,17.57,15.43,154563500.0,0.0812,2792028600.0
002463,沪电股份,2023-05-31,17.7,19.39,19.39,17.7,173529000.0,0.0911,3453649099.9999995
002463,沪电股份,2023-06-01,19.44,19.6,20.7,19.04,181688200.0,0.09539999999999998,3864792000.0
002463,沪电股份,2023-06-02,19.49,18.92,19.8,18.7,114586300.0,0.0602,2363196300.0
002463,沪电股份,2023-06-05,18.97,19.94,20.04,18.95,115118200.0,0.0605,2430512600.0
002463,沪电股份,2023-06-06,19.6,18.9,19.9,18.75,85431700.0,0.0449,1778693100.0
002463,沪电股份,2023-06-07,19.03,18.93,19.49,18.51,56422300.0,0.0296,1158854700.0
002463,沪电股份,2023-06-08,19.04,18.33,19.05,17.94,63895000.0,0.0336,1265824000.0
002463,沪电股份,2023-06-09,18.2,20.31,20.31,18.0,124997800.0,0.06559999999999999,2611475100.0
002463,沪电股份,2023-06-12,21.1,20.81,21.51,20.55,148116600.0,0.07780000000000001,3327863900.0
002463,沪电股份,2023-06-13,20.86,21.06,21.25,20.41,103908700.0,0.0546,2328005300.0
002463,沪电股份,2023-06-14,20.9,21.74,22.32,20.57,114194600.0,0.06,2613003600.0
002463,沪电股份,2023-06-15,21.41,20.5,21.78,20.38,112516000.0,0.0591,2517998800.0
002463,沪电股份,2023-06-16,20.3,21.0,21.09,19.9,84106200.0,0.044199999999999996,1865940400.0
002463,沪电股份,2023-06-19,20.8,21.86,21.94,20.41,106396600.0,0.0559,2420694100.0
002463,沪电股份,2023-06-20,21.67,21.0,21.95,20.6,105575300.0,0.0554,2380351900.0
002463,沪电股份,2023-06-21,20.91,20.09,21.2,20.08,74431400.0,0.0391,1642212500.0
002463,沪电股份,2023-06-26,19.56,18.05,19.78,18.02,106031100.0,0.0557,2138904000.0
002463,沪电股份,2023-06-27,18.19,18.3,18.45,17.9,48432200.0,0.0254,954383000.0
002463,沪电股份,2023-06-28,18.16,17.7,18.16,16.95,68056900.0,0.035699999999999996,1288807900.0
002463,沪电股份,2023-06-29,17.7,17.54,18.03,17.35,49045500.0,0.0258,935807100.0000001
002463,沪电股份,2023-06-30,17.9,19.44,19.44,17.77,103916600.0,0.0546,2124525700.0
002463,沪电股份,2023-07-03,20.35,19.86,20.81,19.74,110775600.0,0.0582,2402144200.0
002463,沪电股份,2023-07-04,19.9,20.87,21.68,19.78,128221900.0,0.0673,2869576100.0
002463,沪电股份,2023-07-05,21.96,21.31,22.95,21.25,162207400.0,0.0852,3835670700.0
002463,沪电股份,2023-07-06,21.49,22.4,23.46,21.05,147484800.0,0.0775,3565915500.0
002463,沪电股份,2023-07-07,22.1,21.4,22.38,20.62,104104300.0,0.0547,2379428400.0
002463,沪电股份,2023-07-10,21.59,20.63,21.71,20.6,69928200.0,0.036699999999999997,1570327300.0
002463,沪电股份,2023-07-11,20.76,20.66,21.16,20.39,65619900.0,0.0345,1455746700.0000002
002463,沪电股份,2023-07-12,20.36,19.68,20.78,19.67,66317400.0,0.0348,1438051200.0
002463,沪电股份,2023-07-13,20.08,21.8,21.8,19.61,88286000.0,0.0464,1968487900.0
002463,沪电股份,2023-07-14,22.78,23.71,24.1,22.37,174077100.0,0.09140000000000001,4289427600.0
002463,沪电股份,2023-07-17,24.07,23.75,24.46,23.16,90643500.0,0.047599999999999996,2284206400.0
002463,沪电股份,2023-07-18,23.38,23.02,24.23,22.9,67980600.0,0.035699999999999996,1695808299.9999998
002463,沪电股份,2023-07-19,23.02,22.92,23.9,22.74,59750200.0,0.031400000000000004,1479339500.0
002463,沪电股份,2023-07-20,22.93,21.11,22.93,21.04,80766600.0,0.0424,1882356099.9999998
002463,沪电股份,2023-07-21,21.05,21.14,21.71,20.59,56605500.0,0.0297,1286535300.0
002463,沪电股份,2023-07-24,21.15,22.69,23.4,20.98,118242000.0,0.0621,2862047300.0
002463,沪电股份,2023-07-25,22.69,22.88,23.72,22.05,115379100.0,0.060599999999999994,2810102300.0
002463,沪电股份,2023-07-26,22.65,21.68,22.79,21.28,85651500.0,0.045,1997470200.0
002463,沪电股份,2023-07-27,21.51,20.89,21.75,20.72,57931800.0,0.0304,1312781500.0
002463,沪电股份,2023-07-28,20.89,20.5,21.1,20.28,57791700.0,0.0304,1276982900.0
002463,沪电股份,2023-07-31,20.5,20.43,20.7,19.6,65771300.0,0.0345,1440264200.0000002
002463,沪电股份,2023-08-01,20.69,21.21,21.5,19.85,99121300.0,0.0521,2212171400.0
002463,沪电股份,2023-08-02,20.87,20.99,21.34,20.38,60964800.0,0.032,1368223900.0000002
002463,沪电股份,2023-08-03,20.66,20.31,21.11,20.21,58842900.0,0.030899999999999997,1294384700.0
002463,沪电股份,2023-08-04,20.32,21.48,21.76,20.12,83187500.0,0.0437,1876838700.0
002463,沪电股份,2023-08-07,21.45,21.74,22.51,21.37,75934700.0,0.039900000000000005,1777212600.0
002463,沪电股份,2023-08-08,21.57,20.94,21.93,20.93,47054800.0,0.024700000000000003,1072139600.0000001
