股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002475,立讯精密,2023-01-03,30.7,30.59,31.19,30.03,42583600.0,0.006,1343981800.0
002475,立讯精密,2023-01-04,30.27,27.44,30.29,27.44,182030600.0,0.0256,5267043600.0
002475,立讯精密,2023-01-05,28.13,28.47,28.49,27.44,147581400.0,0.0208,4280210200.0
002475,立讯精密,2023-01-06,27.82,27.92,28.26,27.44,91100400.0,0.0128,2621224400.0
002475,立讯精密,2023-01-09,27.9,28.16,28.35,27.9,57421500.0,0.008100000000000001,1669552700.0
002475,立讯精密,2023-01-10,28.22,28.72,28.98,27.78,61175600.0,0.0086,1797812200.0
002475,立讯精密,2023-01-11,28.73,28.43,29.17,28.43,39790500.0,0.005600000000000001,1177362600.0
002475,立讯精密,2023-01-12,28.56,28.53,28.78,28.2,29387900.0,0.0040999999999999995,863995300.0
002475,立讯精密,2023-01-13,28.5,28.31,28.65,28.01,36166600.0,0.0051,1055345399.9999999
002475,立讯精密,2023-01-16,28.13,28.85,29.25,28.1,70538600.0,0.009899999999999999,2097452000.0
002475,立讯精密,2023-01-17,28.86,30.11,30.37,28.74,75035300.0,0.0106,2320152800.0
002475,立讯精密,2023-01-18,30.06,29.87,30.23,29.79,33701800.0,0.004699999999999999,1041884400.0
002475,立讯精密,2023-01-19,29.87,30.07,30.16,29.59,28039400.0,0.0039000000000000003,865731799.9999999
002475,立讯精密,2023-01-20,30.14,30.16,30.5,29.97,30586800.0,0.0043,951760900.0
002475,立讯精密,2023-01-30,31.1,31.71,32.36,30.97,96629600.0,0.013600000000000001,3156136500.0
002475,立讯精密,2023-01-31,31.73,31.55,32.05,31.28,35712700.0,0.005,1162534700.0
002475,立讯精密,2023-02-01,31.56,32.18,32.28,31.33,48989600.0,0.0069,1605961400.0000002
002475,立讯精密,2023-02-02,32.2,31.7,32.55,31.68,39514600.0,0.005600000000000001,1298848200.0
