股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002709,天赐材料,2023-01-03,42.15,42.97,43.03,41.0,31103500.0,0.0225,1357041200.0
002709,天赐材料,2023-01-04,42.64,41.46,42.75,41.3,35011200.0,0.0253,1510492600.0
002709,天赐材料,2023-01-05,41.6,43.14,43.85,41.45,43659200.0,0.0316,1929553400.0
002709,天赐材料,2023-01-06,42.72,43.46,44.53,42.55,36153500.0,0.0262,1628575600.0
002709,天赐材料,2023-01-09,43.78,44.68,45.73,43.58,37216300.0,0.0269,1724262700.0
002709,天赐材料,2023-01-10,44.35,45.7,46.55,43.84,36730900.0,0.026600000000000002,1716111500.0
002709,天赐材料,2023-01-11,45.71,45.17,46.35,45.06,20808000.0,0.0151,979322100.0000001
002709,天赐材料,2023-01-12,45.12,46.17,47.02,45.12,26855400.0,0.0194,1282488600.0
002709,天赐材料,2023-01-13,46.65,47.35,47.8,45.74,36459900.0,0.0264,1760361600.0
002709,天赐材料,2023-01-16,46.4,45.21,46.55,45.14,43534500.0,0.0315,2051658200.0
002709,天赐材料,2023-01-17,45.05,45.62,46.11,44.83,19907100.0,0.0144,935653600.0
002709,天赐材料,2023-01-18,45.76,45.56,46.6,45.38,18147200.0,0.0131,859880600.0
002709,天赐材料,2023-01-19,45.16,45.23,45.55,44.94,15706200.0,0.011399999999999999,732053400.0
002709,天赐材料,2023-01-20,45.56,46.13,46.51,45.07,26968900.0,0.0195,1273044200.0
002709,天赐材料,2023-01-30,47.75,47.49,49.35,47.31,51868800.0,0.0375,2590710600.0
002709,天赐材料,2023-01-31,47.49,47.63,48.3,47.35,20156600.0,0.0146,992233000.0
002709,天赐材料,2023-02-01,47.82,48.41,49.05,47.82,27283900.0,0.019799999999999998,1362186900.0
002709,天赐材料,2023-02-02,48.45,47.57,48.84,47.26,28068700.0,0.0203,1385404700.0
002709,天赐材料,2023-02-03,47.53,46.68,47.55,46.1,22601700.0,0.016399999999999998,1087657500.0
002709,天赐材料,2023-02-06,46.35,45.73,46.55,45.55,17782400.0,0.0129,840131700.0
002709,天赐材料,2023-02-07,45.78,46.0,46.18,45.61,15626300.0,0.0113,738990300.0
002709,天赐材料,2023-02-08,45.97,46.29,46.44,45.64,20341000.0,0.0147,967734400.0
002709,天赐材料,2023-02-09,46.23,46.12,46.27,45.65,18499400.0,0.0134,876833400.0
002709,天赐材料,2023-02-10,46.13,44.58,46.13,44.49,28172400.0,0.0204,1311415600.0
002709,天赐材料,2023-02-13,44.55,44.73,45.08,44.24,15837200.0,0.0115,731208500.0
002709,天赐材料,2023-02-14,44.88,44.91,45.29,44.36,16157600.0,0.011699999999999999,745313700.0
002709,天赐材料,2023-02-15,44.94,44.32,45.23,44.15,16254700.0,0.0118,747723800.0
002709,天赐材料,2023-02-16,44.35,43.63,44.72,43.05,22885200.0,0.0166,1041044000.0
002709,天赐材料,2023-02-17,43.67,42.85,43.85,42.76,19885700.0,0.0144,886851200.0
002709,天赐材料,2023-02-20,42.7,42.69,42.72,41.61,33664500.0,0.024399999999999998,1466281400.0000002
002709,天赐材料,2023-02-21,42.73,44.13,44.13,42.35,32197700.0,0.0233,1445298900.0000002
002709,天赐材料,2023-02-22,43.81,44.01,44.02,43.55,19574000.0,0.014199999999999999,885363800.0
002709,天赐材料,2023-02-23,44.02,44.37,44.78,43.93,17502400.0,0.0127,801880300.0
002709,天赐材料,2023-02-24,44.46,43.51,44.54,43.18,15033900.0,0.0109,678599800.0
002709,天赐材料,2023-02-27,43.12,43.68,43.72,42.85,12232800.0,0.0089,549424100.0
002709,天赐材料,2023-02-28,43.91,43.54,43.97,43.05,11202900.0,0.008100000000000001,502650500.0
