股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
002837,英维克,2023-01-03,11.25,11.83,11.98,11.08,8216300.0,0.0232,282538600.0
002837,英维克,2023-01-04,11.77,11.81,12.13,11.64,7711900.0,0.0217,271054100.0
002837,英维克,2023-01-05,11.81,12.01,12.18,11.64,6046700.0,0.0171,213935000.0
002837,英维克,2023-01-06,11.96,12.23,12.44,11.92,8264400.0,0.0233,298610800.0
002837,英维克,2023-01-09,12.22,12.1,12.44,12.02,9011100.0,0.0254,325281200.0
002837,英维克,2023-01-10,12.1,12.22,12.55,12.04,6316600.0,0.0178,229224700.0
002837,英维克,2023-01-11,12.23,12.06,12.33,11.97,6328100.0,0.0178,226792599.99999997
002837,英维克,2023-01-12,12.16,12.22,12.48,12.12,4514400.0,0.0127,163899100.0
002837,英维克,2023-01-13,12.34,12.04,12.39,11.92,4206500.0,0.011899999999999999,149767100.0
002837,英维克,2023-01-16,12.04,12.08,12.26,11.99,4364200.0,0.0123,155715400.0
002837,英维克,2023-01-17,12.15,12.05,12.68,12.01,6919600.0,0.0195,250866900.0
002837,英维克,2023-01-18,12.05,11.9,12.19,11.78,3907500.0,0.011000000000000001,137371500.0
002837,英维克,2023-01-19,11.96,11.68,12.0,11.67,4351400.0,0.0123,151223800.0
002837,英维克,2023-01-20,11.84,12.03,12.23,11.69,5001700.0,0.0141,176984300.0
002837,英维克,2023-01-30,12.27,11.81,12.43,11.78,5777200.0,0.0163,205576300.0
002837,英维克,2023-01-31,11.81,12.11,12.3,11.74,4733500.0,0.013300000000000001,169219199.99999997
002837,英维克,2023-02-01,12.1,11.9,12.13,11.71,5990400.0,0.0169,209321800.0
002837,英维克,2023-02-02,11.88,11.99,12.22,11.76,7526200.0,0.0212,266655099.99999997
002837,英维克,2023-02-03,12.01,12.04,12.29,11.81,6115100.0,0.0172,216689900.00000003
002837,英维克,2023-02-06,12.09,11.87,12.46,11.73,6617100.0,0.0187,235133100.0
002837,英维克,2023-02-07,11.92,11.67,12.15,11.5,6909700.0,0.0195,239361400.0
002837,英维克,2023-02-08,11.75,11.59,11.97,11.52,5178200.0,0.0146,178683200.0
002837,英维克,2023-02-09,11.53,12.12,12.26,11.27,10830300.0,0.0305,381549200.0
002837,英维克,2023-02-10,12.18,11.83,12.19,11.72,5793400.0,0.0163,202734000.0
002837,英维克,2023-02-13,11.8,12.32,12.69,11.77,9913400.0,0.027999999999999997,360564600.0
002837,英维克,2023-02-14,12.37,12.03,12.42,11.87,7166400.0,0.0202,253856000.0
002837,英维克,2023-02-15,11.95,12.28,12.29,11.83,9132400.0,0.0258,326160100.0
002837,英维克,2023-02-16,12.75,11.67,13.55,11.59,15660600.0,0.044199999999999996,552986500.0
002837,英维克,2023-02-17,11.5,10.71,11.53,10.69,15213700.0,0.0429,492719900.0
002837,英维克,2023-02-20,10.71,11.45,11.54,10.6,10728100.0,0.030299999999999997,353852400.0
002837,英维克,2023-02-21,11.45,11.13,11.46,11.05,6500400.0,0.0183,214638100.0
002837,英维克,2023-02-22,10.97,11.1,11.37,10.96,4906800.0,0.0138,162103700.0
002837,英维克,2023-02-23,11.0,11.08,11.28,10.97,6302800.0,0.0178,207002000.0
002837,英维克,2023-02-24,11.14,10.92,11.18,10.82,5086000.0,0.0143,164667400.00000003
002837,英维克,2023-02-27,10.8,11.06,11.2,10.76,5265200.0,0.0148,172547200.0
002837,英维克,2023-02-28,11.18,11.15,11.38,11.01,4284800.0,0.0121,141620700.0
002837,英维克,2023-03-01,11.15,11.26,11.32,10.97,4068300.0,0.0115,134655700.0
002837,英维克,2023-03-02,11.19,10.96,11.29,10.9,4713700.0,0.013300000000000001,154166900.0
002837,英维克,2023-03-03,10.87,10.81,11.03,10.74,4177100.0,0.0118,134179100.0
002837,英维克,2023-03-06,10.77,10.84,10.88,10.42,6740300.0,0.019,212802700.0
002837,英维克,2023-03-07,10.76,10.44,10.84,10.43,6782900.0,0.0191,213093400.0
002837,英维克,2023-03-08,10.55,10.45,10.8,10.31,6920200.0,0.0195,216234900.00000003
002837,英维克,2023-03-09,10.44,10.3,10.5,10.21,6215600.0,0.0175,190223100.0
002837,英维克,2023-03-10,10.29,10.2,10.32,10.15,5329700.0,0.015,161694300.0
002837,英维克,2023-03-13,10.15,10.17,10.37,10.06,6506000.0,0.0183,196644500.0
002837,英维克,2023-03-14,10.09,9.85,10.15,9.66,8081400.0,0.022799999999999997,236395300.0
002837,英维克,2023-03-15,9.95,9.81,10.01,9.75,4897300.0,0.0138,143550500.0
002837,英维克,2023-03-16,9.71,9.53,9.75,9.44,5192200.0,0.0146,148127800.0
002837,英维克,2023-03-17,9.61,9.4,9.64,9.4,6604200.0,0.018600000000000002,186573000.0
