股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300274,阳光电源,2023-01-03,74.63,78.65,79.98,74.59,29291000.0,0.0259,3339690700.0
300274,阳光电源,2023-01-04,78.2,76.24,78.85,75.77,22928500.0,0.0203,2597163300.0
300274,阳光电源,2023-01-05,75.8,77.43,78.81,75.8,18080700.0,0.016,2066807800.0
300274,阳光电源,2023-01-06,77.49,81.86,83.75,77.49,32491300.0,0.0288,3925001700.0
300274,阳光电源,2023-01-09,82.48,82.15,84.98,81.07,24704400.0,0.0219,3014031400.0
300274,阳光电源,2023-01-10,83.01,83.17,84.48,82.19,16802800.0,0.0149,2056402400.0
300274,阳光电源,2023-01-11,83.13,83.2,84.98,82.01,18186400.0,0.0161,2227634100.0
300274,阳光电源,2023-01-12,83.2,82.07,83.77,81.66,15313800.0,0.013600000000000001,1852630600.0
300274,阳光电源,2023-01-13,82.91,82.02,82.98,81.43,15069600.0,0.013300000000000001,1815830900.0
300274,阳光电源,2023-01-16,81.93,82.92,85.39,81.21,18780900.0,0.0166,2296942700.0
300274,阳光电源,2023-01-17,82.94,83.01,84.51,81.28,11830200.0,0.0105,1432628400.0
300274,阳光电源,2023-01-18,83.22,83.01,84.08,81.8,9649300.0,0.0085,1174719100.0
300274,阳光电源,2023-01-19,83.01,81.86,83.85,81.55,11787400.0,0.0104,1420138299.9999998
300274,阳光电源,2023-01-20,85.36,87.92,87.92,83.42,30483800.0,0.027000000000000003,3861878000.0
300274,阳光电源,2023-01-30,89.67,89.6,92.54,87.95,25234800.0,0.022400000000000003,3322878800.0
300274,阳光电源,2023-01-31,88.97,88.95,90.39,87.03,15178200.0,0.0134,1973692300.0
300274,阳光电源,2023-02-01,88.95,86.12,88.95,83.65,27982500.0,0.0248,3513244600.0
300274,阳光电源,2023-02-02,86.12,84.84,86.66,84.27,16226300.0,0.0144,2018459700.0
300274,阳光电源,2023-02-03,84.49,83.9,85.21,82.51,14201600.0,0.0126,1738007800.0
300274,阳光电源,2023-02-06,83.44,82.79,84.15,81.48,14713500.0,0.013000000000000001,1777406300.0
300274,阳光电源,2023-02-07,83.44,81.78,84.66,80.64,16376400.0,0.014499999999999999,1971278000.0
300274,阳光电源,2023-02-08,81.68,82.4,84.28,81.5,13309800.0,0.0118,1612272200.0
300274,阳光电源,2023-02-09,81.85,83.88,85.51,80.19,22396700.0,0.019799999999999998,2738402199.9999995
300274,阳光电源,2023-02-10,82.86,82.22,83.4,81.6,11529200.0,0.0102,1392370300.0
300274,阳光电源,2023-02-13,81.6,82.44,83.32,81.45,9531000.0,0.0084,1152368400.0
300274,阳光电源,2023-02-14,82.87,81.42,83.05,79.3,17879800.0,0.0158,2124359700.0
300274,阳光电源,2023-02-15,81.78,79.2,82.77,78.92,18801200.0,0.0167,2211731100.0
300274,阳光电源,2023-02-16,79.5,78.77,80.49,78.11,13203200.0,0.011699999999999999,1537730900.0
300274,阳光电源,2023-02-17,78.37,76.22,78.82,76.06,15463300.0,0.0137,1756449300.0
300274,阳光电源,2023-02-20,76.27,80.95,81.07,76.12,24320000.0,0.0215,2841421300.0
300274,阳光电源,2023-02-21,80.36,80.07,80.62,77.87,17747100.0,0.015700000000000002,2065661600.0
300274,阳光电源,2023-02-22,78.98,80.1,82.61,78.95,15586800.0,0.0138,1854344100.0
300274,阳光电源,2023-02-23,80.09,83.42,83.78,80.09,25124300.0,0.0223,3041548200.0
300274,阳光电源,2023-02-24,83.22,82.29,83.64,81.48,12106100.0,0.010700000000000001,1462460200.0
300274,阳光电源,2023-02-27,81.35,81.8,84.3,79.79,15244800.0,0.013500000000000002,1842686600.0
300274,阳光电源,2023-02-28,81.65,81.5,82.18,80.57,9293800.0,0.008199999999999999,1108067200.0
300274,阳光电源,2023-03-01,81.14,78.5,81.65,77.62,22576900.0,0.02,2606847700.0
300274,阳光电源,2023-03-02,78.57,76.96,79.07,75.9,19611500.0,0.0174,2226485600.0
300274,阳光电源,2023-03-03,77.36,76.35,78.19,76.06,12066600.0,0.010700000000000001,1365217900.0
300274,阳光电源,2023-03-06,76.72,80.99,81.43,74.48,34197700.0,0.030299999999999997,3947329000.0
300274,阳光电源,2023-03-07,80.32,81.78,82.71,79.64,22233400.0,0.0197,2653870200.0
300274,阳光电源,2023-03-08,81.65,78.91,82.36,78.46,18471100.0,0.016399999999999998,2165907700.0
300274,阳光电源,2023-03-09,78.25,78.06,79.65,77.21,12052700.0,0.010700000000000001,1389629700.0
300274,阳光电源,2023-03-10,77.85,77.48,78.64,75.94,15195500.0,0.013500000000000002,1726237500.0
300274,阳光电源,2023-03-13,76.49,75.64,78.07,75.11,16544400.0,0.0147,1855027000.0
300274,阳光电源,2023-03-14,75.34,71.56,75.99,68.97,45933500.0,0.0407,4837152900.0
300274,阳光电源,2023-03-15,71.77,70.99,73.82,70.12,22428900.0,0.0199,2370283200.0
300274,阳光电源,2023-03-16,69.63,66.34,70.61,65.51,43855100.0,0.0388,4361754500.0
300274,阳光电源,2023-03-17,67.43,64.71,67.46,64.1,33493600.0,0.0297,3235898600.0
300274,阳光电源,2023-03-20,63.96,67.25,69.01,63.18,33861700.0,0.03,3350811300.0
300274,阳光电源,2023-03-21,67.46,68.59,69.22,66.68,33039000.0,0.029300000000000003,3331809400.0
300274,阳光电源,2023-03-22,69.18,69.04,70.08,67.94,23571100.0,0.0209,2406566700.0
300274,阳光电源,2023-03-23,68.51,67.46,68.75,66.96,19160900.0,0.017,1921461200.0
300274,阳光电源,2023-03-24,67.46,68.47,69.99,65.31,25776300.0,0.022799999999999997,2594725500.0
300274,阳光电源,2023-03-27,67.54,71.33,72.03,67.54,38983400.0,0.0345,4049514099.9999995
300274,阳光电源,2023-03-28,70.34,70.31,71.25,69.67,21841300.0,0.019299999999999998,2272627800.0
300274,阳光电源,2023-03-29,70.71,70.77,72.12,69.72,22317900.0,0.019799999999999998,2344802400.0
300274,阳光电源,2023-03-30,70.15,71.44,71.76,68.93,21630100.0,0.0192,2259840800.0
300274,阳光电源,2023-03-31,71.46,70.95,72.87,70.33,21967700.0,0.0195,2324289200.0
300274,阳光电源,2023-04-03,70.33,71.69,72.74,69.58,22350800.0,0.019799999999999998,2357093300.0
300274,阳光电源,2023-04-04,71.08,68.14,71.31,66.54,40347900.0,0.035699999999999996,4065397700.0
300274,阳光电源,2023-04-06,68.16,68.23,69.33,66.63,23227800.0,0.0206,2329755500.0
300274,阳光电源,2023-04-07,67.46,67.08,68.67,66.65,16903300.0,0.015,1691335500.0
300274,阳光电源,2023-04-10,67.5,68.5,68.58,66.89,25628300.0,0.0227,2581727800.0
300274,阳光电源,2023-04-11,68.9,69.48,70.64,67.55,32771600.0,0.028999999999999998,3356564300.0
300274,阳光电源,2023-04-12,68.77,67.31,69.98,66.8,22452200.0,0.0199,2256133000.0
300274,阳光电源,2023-04-13,67.46,67.49,69.89,65.32,22282600.0,0.0197,2243459400.0
300274,阳光电源,2023-04-14,66.77,68.93,70.69,66.75,31637800.0,0.027999999999999997,3243662700.0
300274,阳光电源,2023-04-17,68.54,69.38,69.83,68.35,17847900.0,0.0158,1823276200.0
300274,阳光电源,2023-04-18,70.19,74.54,74.9,70.19,49698000.0,0.044000000000000004,5374654000.0
300274,阳光电源,2023-04-19,74.54,73.98,75.34,72.16,30051700.0,0.026600000000000002,3270329800.0
300274,阳光电源,2023-04-20,73.41,71.53,73.68,70.9,24538000.0,0.0217,2597757000.0
300274,阳光电源,2023-04-21,71.75,74.63,76.66,71.62,38163300.0,0.0338,4186968300.0
300274,阳光电源,2023-04-24,74.68,69.9,74.73,68.18,40335300.0,0.035699999999999996,4172046900.0
300274,阳光电源,2023-04-25,72.12,69.22,74.59,68.93,41927100.0,0.0371,4434259900.0
300274,阳光电源,2023-04-26,67.46,79.99,81.79,67.29,75226600.0,0.0666,8462653100.000001
300274,阳光电源,2023-04-27,78.21,79.24,80.64,77.5,35363500.0,0.0313,4108053000.0
300274,阳光电源,2023-04-28,78.35,76.59,79.55,75.13,35232300.0,0.031200000000000002,3973629000.0
300274,阳光电源,2023-05-04,74.63,76.78,79.61,74.52,34081200.0,0.0302,3875389900.0
300274,阳光电源,2023-05-05,75.79,72.84,76.05,71.17,32788100.0,0.028999999999999998,3523811900.0
300274,阳光电源,2023-05-08,72.85,73.05,73.78,70.44,24860700.0,0.022000000000000002,2652432900.0
300274,阳光电源,2023-05-09,73.13,72.55,74.56,71.4,20834400.0,0.018500000000000003,2234649300.0
300274,阳光电源,2023-05-10,72.1,74.51,75.02,69.76,30461300.0,0.027000000000000003,3274340300.0000005
300274,阳光电源,2023-05-11,73.47,75.42,78.2,73.34,29368900.0,0.026000000000000002,3281582199.9999995
300274,阳光电源,2023-05-12,75.33,73.62,76.61,73.56,17232000.0,0.015300000000000001,1903267700.0
300274,阳光电源,2023-05-15,74.63,79.28,79.91,74.55,34028000.0,0.0301,3918237800.0000005
300274,阳光电源,2023-05-16,78.93,79.3,82.22,78.49,29413600.0,0.026000000000000002,3465618500.0
300274,阳光电源,2023-05-17,80.5,79.62,80.97,77.56,17464800.0,0.0155,2027348900.0000002
300274,阳光电源,2023-05-18,79.61,77.31,79.62,76.99,18758400.0,0.0166,2146826500.0
300274,阳光电源,2023-05-19,77.64,77.98,78.53,76.38,14181000.0,0.0126,1624490900.0
300274,阳光电源,2023-05-22,77.19,77.35,79.34,76.78,12502500.0,0.0111,1431815200.0
300274,阳光电源,2023-05-23,77.35,77.74,79.94,77.05,16302600.0,0.0144,1877237000.0
300274,阳光电源,2023-05-24,77.28,79.86,80.77,76.93,23891900.0,0.0212,2794347300.0
300274,阳光电源,2023-05-25,78.83,81.81,83.98,78.41,33583200.0,0.0297,4032943000.0
300274,阳光电源,2023-05-26,81.43,77.51,81.71,76.87,26017900.0,0.023,2995652400.0
300274,阳光电源,2023-05-29,76.86,74.2,77.34,73.64,25185600.0,0.0223,2771419200.0
300274,阳光电源,2023-05-30,74.27,75.06,76.45,73.83,18248600.0,0.016200000000000003,2016014100.0
300274,阳光电源,2023-05-31,75.34,74.73,75.96,73.47,13292600.0,0.0118,1469723400.0
300274,阳光电源,2023-06-01,74.63,72.94,75.63,72.71,17661100.0,0.015600000000000001,1925995500.0
300274,阳光电源,2023-06-02,72.55,73.17,74.27,72.36,13270600.0,0.0118,1440188700.0
300274,阳光电源,2023-06-05,72.48,70.39,72.48,68.64,24379500.0,0.0216,2529903500.0
300274,阳光电源,2023-06-06,70.14,71.01,71.74,68.47,22903200.0,0.0203,2375129000.0
300274,阳光电源,2023-06-07,70.45,69.17,70.71,68.18,18498000.0,0.016399999999999998,1889013000.0
300274,阳光电源,2023-06-08,69.91,69.71,72.0,69.43,19070700.0,0.0169,1985934300.0
300274,阳光电源,2023-06-09,69.28,70.29,70.98,69.05,16510600.0,0.0146,1704727100.0
300274,阳光电源,2023-06-12,69.83,71.47,71.94,68.24,23052900.0,0.0204,2387581500.0
300274,阳光电源,2023-06-13,70.61,70.85,71.77,70.4,14013200.0,0.0124,1465541300.0
300274,阳光电源,2023-06-14,71.12,69.89,72.12,69.41,18273900.0,0.016200000000000003,1907265600.0
300274,阳光电源,2023-06-15,70.04,75.34,76.22,69.14,38679900.0,0.0342,4168755900.0000005
300274,阳光电源,2023-06-16,75.72,77.71,78.35,74.78,31711900.0,0.0281,3574147300.0
300274,阳光电源,2023-06-19,76.93,77.61,78.99,76.58,16184000.0,0.0143,1843308800.0
300274,阳光电源,2023-06-20,77.36,77.33,78.88,76.68,14168700.0,0.0125,1611641900.0
300274,阳光电源,2023-06-21,77.35,77.04,79.72,76.7,16975300.0,0.015,1951071300.0
300274,阳光电源,2023-06-26,75.86,78.53,80.44,75.56,18243200.0,0.016200000000000003,2097518400.0
300274,阳光电源,2023-06-27,78.4,79.76,81.42,78.08,16848900.0,0.0149,1970376600.0
300274,阳光电源,2023-06-28,79.08,79.45,80.8,78.98,12727600.0,0.0113,1489196600.0
300274,阳光电源,2023-06-29,79.23,79.12,80.77,78.92,10886800.0,0.0096,1271066500.0
300274,阳光电源,2023-06-30,77.89,79.53,81.02,77.19,16776700.0,0.0149,1958165700.0
300274,阳光电源,2023-07-03,80.36,83.95,86.46,80.23,36873200.0,0.0327,4540405000.0
300274,阳光电源,2023-07-04,84.46,82.03,85.31,81.6,16745600.0,0.0148,2030588100.0
300274,阳光电源,2023-07-05,81.95,81.62,83.73,81.23,11029000.0,0.0098,1324260200.0
300274,阳光电源,2023-07-06,80.99,80.8,82.46,80.13,10376400.0,0.0092,1230971900.0
300274,阳光电源,2023-07-07,79.8,78.8,81.12,78.8,11075200.0,0.0098,1294718100.0
300274,阳光电源,2023-07-10,78.8,80.34,82.01,78.72,16291900.0,0.0144,1928767700.0
300274,阳光电源,2023-07-11,80.67,79.93,81.2,78.95,8416000.0,0.0075,983846799.9999999
300274,阳光电源,2023-07-12,80.64,80.77,81.58,78.38,14109900.0,0.0125,1665147600.0
300274,阳光电源,2023-07-13,80.8,81.13,82.09,79.8,10977900.0,0.0097,1300592000.0
300274,阳光电源,2023-07-14,80.52,77.54,80.99,77.03,22339600.0,0.019799999999999998,2565672400.0
300274,阳光电源,2023-07-17,76.95,77.86,78.33,76.9,7179000.0,0.0064,819611400.0
300274,阳光电源,2023-07-18,77.29,76.97,77.85,76.22,9943200.0,0.0088,1123171300.0
300274,阳光电源,2023-07-19,76.97,75.29,77.01,74.11,16252700.0,0.0144,1796583599.9999998
300274,阳光电源,2023-07-20,75.75,74.33,76.18,74.13,8680500.0,0.0077,957648300.0
300274,阳光电源,2023-07-21,74.08,73.69,74.78,72.94,7631300.0,0.0068000000000000005,827985100.0
300274,阳光电源,2023-07-24,72.31,72.56,74.27,71.96,10006700.0,0.0089,1070324900.0
300274,阳光电源,2023-07-25,73.7,73.54,74.5,72.64,14976700.0,0.013300000000000001,1618098900.0000002
300274,阳光电源,2023-07-26,72.99,74.34,75.16,72.92,11648600.0,0.0103,1275264300.0
300274,阳光电源,2023-07-27,74.35,74.0,75.78,73.67,9048500.0,0.008,990624299.9999999
