股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300395,菲利华,2023-01-03,54.67,54.92,55.45,54.02,4299500.0,0.0091,238582500.0
300395,菲利华,2023-01-04,54.64,53.14,55.42,52.58,5715300.0,0.012,307619000.0
300395,菲利华,2023-01-05,53.19,52.56,54.26,52.29,5011800.0,0.0106,268071300.0
300395,菲利华,2023-01-06,52.26,52.16,53.06,51.99,3793400.0,0.008,200972000.0
300395,菲利华,2023-01-09,52.08,50.8,52.18,50.47,5267400.0,0.0111,272202200.0
300395,菲利华,2023-01-10,50.83,51.15,51.98,50.35,3991600.0,0.0084,206088000.0
300395,菲利华,2023-01-11,51.09,49.7,51.72,49.36,3857200.0,0.008100000000000001,195615200.0
300395,菲利华,2023-01-12,50.07,50.01,51.11,49.67,4138900.0,0.0087,210762500.0
300395,菲利华,2023-01-13,49.97,48.77,50.09,47.56,8633200.0,0.0182,423066900.0
300395,菲利华,2023-01-16,48.78,49.47,50.44,48.48,4833200.0,0.0102,242585500.0
300395,菲利华,2023-01-17,49.69,49.69,51.37,49.15,5066600.0,0.010700000000000001,256615600.0
300395,菲利华,2023-01-18,49.87,49.22,50.05,49.21,3022600.0,0.0064,151076300.0
300395,菲利华,2023-01-19,49.28,50.41,50.62,48.47,4274500.0,0.009000000000000001,215454300.0
300395,菲利华,2023-01-20,50.21,50.29,50.77,49.9,2646100.0,0.005600000000000001,134442700.0
300395,菲利华,2023-01-30,50.48,52.47,52.75,50.48,6508900.0,0.0137,341255000.0
300395,菲利华,2023-01-31,52.41,51.47,52.45,51.07,3628700.0,0.0076,189141300.0
300395,菲利华,2023-02-01,51.22,52.1,52.37,51.22,4086100.0,0.0086,214367000.0
300395,菲利华,2023-02-02,52.45,50.97,52.65,50.8,3898800.0,0.008199999999999999,203186000.0
300395,菲利华,2023-02-03,50.97,50.69,51.4,50.27,2466200.0,0.0052,126315100.0
300395,菲利华,2023-02-06,50.45,52.19,52.43,50.18,5673900.0,0.011899999999999999,297724600.0
300395,菲利华,2023-02-07,52.37,50.32,52.37,49.37,4690700.0,0.0098,238650900.0
300395,菲利华,2023-02-08,50.32,49.47,51.09,49.34,3222800.0,0.0067,162316100.0
300395,菲利华,2023-02-09,49.18,51.18,51.26,49.18,4667400.0,0.0098,237569300.0
300395,菲利华,2023-02-10,50.97,50.11,51.26,49.63,3815600.0,0.008,193466200.0
300395,菲利华,2023-02-13,49.99,49.7,51.22,49.55,4206500.0,0.0088,213503600.0
300395,菲利华,2023-02-14,49.56,49.52,49.86,48.81,4124000.0,0.0086,205294800.0
300395,菲利华,2023-02-15,49.68,47.99,50.85,47.77,5434500.0,0.011399999999999999,268806400.0
300395,菲利华,2023-02-16,47.98,47.75,48.75,47.52,4113300.0,0.0086,200348400.0
300395,菲利华,2023-02-17,48.06,47.18,48.06,46.97,5766000.0,0.0121,276067000.0
300395,菲利华,2023-02-20,46.98,46.27,47.34,45.51,8419600.0,0.0176,391903399.99999994
300395,菲利华,2023-02-21,46.43,45.97,46.77,45.62,5487800.0,0.0115,255832300.0
300395,菲利华,2023-02-22,45.57,45.87,46.42,45.36,4418500.0,0.009300000000000001,204621800.0
300395,菲利华,2023-02-23,45.86,47.83,48.05,45.74,10500900.0,0.022000000000000002,502266200.0
300395,菲利华,2023-02-24,48.06,49.02,51.47,47.62,14698700.0,0.0308,740573800.0
300395,菲利华,2023-02-27,49.03,50.07,51.24,48.48,10661500.0,0.0223,540412600.0
