股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300475,香农芯创,2023-01-03,16.05,16.53,16.56,16.05,647500.0,0.0015,11296000.0
300475,香农芯创,2023-01-04,16.53,16.47,16.59,16.35,618000.0,0.0015,10844700.0
300475,香农芯创,2023-01-05,16.56,16.41,16.56,16.27,702900.0,0.0017000000000000001,12269800.0
300475,香农芯创,2023-01-06,16.36,16.33,16.42,16.12,832200.0,0.002,14427600.0
300475,香农芯创,2023-01-09,16.29,16.41,16.49,16.23,642200.0,0.0015,11202100.0
300475,香农芯创,2023-01-10,16.48,16.55,16.66,16.21,757600.0,0.0018,13316199.999999998
300475,香农芯创,2023-01-11,16.56,16.33,16.61,16.3,1023400.0,0.0024,17924200.0
300475,香农芯创,2023-01-12,16.28,16.56,16.66,16.15,1175800.0,0.0028000000000000004,20615400.0
300475,香农芯创,2023-01-13,16.48,16.42,16.56,16.32,725500.0,0.0017000000000000001,12687200.0
300475,香农芯创,2023-01-16,16.45,16.64,17.01,16.41,1677800.0,0.004,30018100.0
300475,香农芯创,2023-01-17,16.64,16.74,16.93,16.58,2201100.0,0.0052,39343900.0
300475,香农芯创,2023-01-18,16.66,16.9,17.12,16.66,1451500.0,0.0034999999999999996,26259699.999999996
300475,香农芯创,2023-01-19,16.96,17.1,17.12,16.83,885400.0,0.0021,16059300.0
300475,香农芯创,2023-01-20,17.01,17.26,17.31,17.01,1088100.0,0.0026,20021800.0
300475,香农芯创,2023-01-30,17.3,17.48,17.66,17.28,1428200.0,0.0034000000000000002,26746800.0
300475,香农芯创,2023-01-31,17.59,17.43,17.59,17.34,908100.0,0.0022,16945200.0
300475,香农芯创,2023-02-01,17.44,17.51,17.55,17.33,1315400.0,0.0031,24465400.0
300475,香农芯创,2023-02-02,17.59,17.93,18.08,17.45,2429600.0,0.0058,46303400.0
300475,香农芯创,2023-02-03,17.88,17.96,18.14,17.75,2892900.0,0.0069,55397200.0
300475,香农芯创,2023-02-06,17.97,17.76,18.24,17.68,2953600.0,0.006999999999999999,56508700.0
300475,香农芯创,2023-02-07,17.92,17.88,17.93,17.6,3259600.0,0.0078000000000000005,61845800.0
300475,香农芯创,2023-02-16,18.86,17.64,19.01,17.42,3715300.0,0.0088,69651300.0
300475,香农芯创,2023-02-17,17.1,17.19,17.74,17.02,2539100.0,0.006,45355100.0
300475,香农芯创,2023-02-20,17.29,17.51,17.6,17.19,1442600.0,0.0034000000000000002,25811400.0
300475,香农芯创,2023-02-21,17.42,17.63,17.7,17.4,1252100.0,0.003,22600700.0
300475,香农芯创,2023-02-22,17.59,17.51,17.59,17.37,951500.0,0.0023,17080400.0
300475,香农芯创,2023-02-23,17.57,17.4,17.65,17.33,891600.0,0.0021,15974400.0
300475,香农芯创,2023-02-24,17.46,17.39,17.55,17.32,540700.0,0.0013,9661200.0
300475,香农芯创,2023-02-27,17.46,17.61,18.07,17.2,1793300.0,0.0043,32731600.0
300475,香农芯创,2023-02-28,17.7,18.2,18.25,17.56,2144400.0,0.0051,39582100.0
300475,香农芯创,2023-03-01,18.27,18.19,18.52,17.99,1525300.0,0.0036,28483000.0
300475,香农芯创,2023-03-02,18.1,18.07,18.42,18.05,1178100.0,0.0028000000000000004,22027500.0
300475,香农芯创,2023-03-03,17.99,18.03,18.29,17.73,1920200.0,0.0042,35418300.0
300475,香农芯创,2023-03-06,18.02,17.95,18.08,17.78,1153700.0,0.0025,21248600.0
300475,香农芯创,2023-03-07,18.0,17.58,18.02,17.56,930900.0,0.002,16950200.0
300475,香农芯创,2023-03-08,17.85,17.75,17.86,17.47,559400.0,0.0012,10165700.0
300475,香农芯创,2023-03-09,17.82,17.69,17.82,17.65,580300.0,0.0013,10567600.0
300475,香农芯创,2023-03-10,17.75,17.31,17.75,17.3,1298900.0,0.0028000000000000004,23268600.0
300475,香农芯创,2023-03-13,17.42,17.28,17.45,17.07,785700.0,0.0017000000000000001,13920900.0
300475,香农芯创,2023-03-14,17.26,17.21,17.34,16.94,897100.0,0.002,15771000.0
300475,香农芯创,2023-03-15,17.12,17.3,17.5,17.11,562800.0,0.0012,10030800.0
300475,香农芯创,2023-03-16,17.18,16.82,17.38,16.73,748400.0,0.0016,13043000.0
300475,香农芯创,2023-03-17,17.03,16.34,17.03,16.19,2260300.0,0.0049,38354000.0
300475,香农芯创,2023-03-20,16.44,16.6,16.74,16.44,908700.0,0.002,15516400.000000002
300475,香农芯创,2023-03-21,16.71,16.9,16.93,16.57,784600.0,0.0017000000000000001,13575600.0
300475,香农芯创,2023-03-22,16.97,17.05,17.1,16.92,744000.0,0.0016,13021800.0
300475,香农芯创,2023-03-23,16.98,17.28,17.29,16.92,890300.0,0.0019,15702900.0
300475,香农芯创,2023-03-24,17.23,17.26,17.43,17.22,670700.0,0.0015,11927500.0
300475,香农芯创,2023-03-27,17.39,17.01,17.39,16.97,822400.0,0.0018,14467400.0
300475,香农芯创,2023-03-28,16.79,16.88,17.01,16.65,1220400.0,0.0027,21124100.0
300475,香农芯创,2023-03-29,16.79,16.72,16.95,16.67,808800.0,0.0018,13950700.0
300475,香农芯创,2023-03-30,16.8,16.91,16.97,16.59,885900.0,0.0019,15301900.0
300475,香农芯创,2023-03-31,16.77,16.74,16.89,16.54,946500.0,0.0021,16259400.0
300475,香农芯创,2023-04-03,16.82,17.93,18.62,16.81,8167600.0,0.0179,151415700.0
300475,香农芯创,2023-04-04,17.84,18.19,18.24,17.66,4182600.0,0.0091,76626500.0
300475,香农芯创,2023-04-06,17.92,20.02,20.79,17.92,10326900.0,0.0226,208269400.0
300475,香农芯创,2023-04-07,20.03,21.1,21.35,19.63,11316900.0,0.024700000000000003,240987599.99999997
300475,香农芯创,2023-04-10,21.1,19.83,21.19,19.77,6170600.0,0.013500000000000002,127730500.0
300475,香农芯创,2023-04-11,19.69,20.19,20.47,19.69,3663000.0,0.008,75180300.0
300475,香农芯创,2023-04-12,20.09,20.5,20.54,19.89,3344900.0,0.0073,69602800.0
300475,香农芯创,2023-04-13,20.43,19.75,20.43,19.67,2689500.0,0.0059,54849600.0
300475,香农芯创,2023-04-14,19.72,20.67,21.14,19.72,7506000.0,0.016399999999999998,158300700.0
300475,香农芯创,2023-04-17,21.07,20.4,21.71,20.22,6669000.0,0.0146,142357100.0
300475,香农芯创,2023-04-18,20.31,20.22,21.02,20.1,4506200.0,0.0098,94666800.0
300475,香农芯创,2023-04-19,20.4,20.65,20.97,20.32,5858700.0,0.0128,123765100.0
300475,香农芯创,2023-04-20,20.35,20.4,20.95,20.15,4509200.0,0.009899999999999999,94290500.0
