股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300499,高澜股份,2023-01-03,9.72,10.12,10.17,9.72,12835400.0,0.0472,130389300.0
300499,高澜股份,2023-01-04,10.07,10.19,10.46,10.02,8877200.0,0.0326,92811299.99999999
300499,高澜股份,2023-01-05,10.19,10.39,10.45,10.03,12230600.0,0.045,127277300.0
300499,高澜股份,2023-01-06,10.33,10.48,10.69,10.32,11385400.0,0.04190000000000001,121964200.0
300499,高澜股份,2023-01-09,10.6,10.47,10.8,10.39,10062500.0,0.037000000000000005,108357400.0
300499,高澜股份,2023-01-10,10.52,10.46,10.52,10.34,5366100.0,0.0197,56856400.0
300499,高澜股份,2023-01-11,11.58,11.75,12.12,11.16,47009400.0,0.1729,553275700.0
300499,高澜股份,2023-01-12,11.73,12.67,12.96,11.54,48611800.0,0.1788,614503200.0
300499,高澜股份,2023-01-13,12.68,12.42,12.87,12.21,22455800.0,0.08259999999999999,282989300.0
300499,高澜股份,2023-01-16,12.41,12.2,12.45,12.05,15618900.0,0.0574,193350800.00000003
300499,高澜股份,2023-01-17,12.09,12.64,12.75,12.09,19903100.0,0.0732,251456400.0
300499,高澜股份,2023-01-18,12.49,12.42,12.71,12.23,10586400.0,0.038900000000000004,133848900.0
300499,高澜股份,2023-01-19,12.42,12.52,12.72,12.27,10261800.0,0.0377,130509900.0
300499,高澜股份,2023-01-20,12.65,12.61,12.74,12.4,9386700.0,0.0345,119952200.0
300499,高澜股份,2023-01-30,12.87,12.7,13.01,12.68,11051900.0,0.0406,143468300.0
300499,高澜股份,2023-01-31,12.67,13.07,13.31,12.59,17904900.0,0.0658,237280099.99999997
300499,高澜股份,2023-02-01,12.92,13.24,13.3,12.75,12675400.0,0.0466,167834900.00000003
300499,高澜股份,2023-02-02,13.12,13.14,13.28,13.02,6577900.0,0.0242,87677300.0
300499,高澜股份,2023-02-03,13.03,12.88,13.21,12.63,11453500.0,0.0421,149501300.0
300499,高澜股份,2023-02-06,12.72,12.74,13.0,12.55,12473700.0,0.045899999999999996,161012700.0
300499,高澜股份,2023-02-07,12.7,12.57,12.81,12.35,10966500.0,0.0403,139327800.0
300499,高澜股份,2023-02-08,12.47,12.94,13.32,12.47,15594000.0,0.057300000000000004,204550300.0
300499,高澜股份,2023-02-09,12.86,13.24,13.33,12.74,12585400.0,0.0463,167255700.0
300499,高澜股份,2023-02-10,13.08,13.32,13.78,13.08,15314200.0,0.056299999999999996,207521200.0
300499,高澜股份,2023-02-13,13.32,13.6,13.77,13.22,17644200.0,0.0649,243074700.0
300499,高澜股份,2023-02-14,13.6,13.81,14.22,13.47,15751100.0,0.0579,221243900.0
300499,高澜股份,2023-02-15,13.77,14.45,14.63,13.76,22779400.0,0.08380000000000001,328526500.0
300499,高澜股份,2023-02-16,15.02,13.48,15.22,13.43,32207600.0,0.1184,461632400.0
300499,高澜股份,2023-02-17,13.42,13.28,13.97,13.25,19130400.0,0.0704,262520200.0
300499,高澜股份,2023-02-20,13.29,14.2,14.4,12.88,24579100.0,0.0904,342269600.0
300499,高澜股份,2023-02-21,14.14,13.82,14.37,13.62,15495800.0,0.057,217534400.0
300499,高澜股份,2023-02-22,13.52,13.6,14.1,13.45,11989200.0,0.0441,167672100.0
300499,高澜股份,2023-02-23,13.71,13.71,13.97,13.57,8551500.0,0.031400000000000004,118767000.0
300499,高澜股份,2023-02-24,13.67,13.36,13.71,13.11,13671800.0,0.050300000000000004,184827900.0
300499,高澜股份,2023-02-27,13.32,13.27,13.59,13.23,6489600.0,0.0239,87952800.0
300499,高澜股份,2023-02-28,13.41,13.15,13.61,12.86,9059700.0,0.0333,120585700.0
300499,高澜股份,2023-03-01,13.09,13.16,13.21,12.96,7038500.0,0.0259,93464599.99999999
300499,高澜股份,2023-03-02,13.09,12.64,13.14,12.52,12529700.0,0.0461,162084700.0
300499,高澜股份,2023-03-03,12.69,12.45,12.75,12.42,7651600.0,0.0281,97352800.0
300499,高澜股份,2023-03-06,12.45,12.73,12.85,12.23,9529400.0,0.035,121511200.00000001
