股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300502,新易盛,2023-01-03,7.56,7.93,8.0,7.51,9942500.0,0.0227,242783800.0
300502,新易盛,2023-01-04,7.93,7.97,8.06,7.84,8583300.0,0.0196,211951100.0
300502,新易盛,2023-01-05,7.95,8.07,8.09,7.89,6357600.0,0.014499999999999999,158511700.0
300502,新易盛,2023-01-06,8.03,8.12,8.23,8.02,7454100.0,0.017,188301000.0
300502,新易盛,2023-01-09,8.14,8.03,8.2,8.0,6704000.0,0.015300000000000001,168223600.0
300502,新易盛,2023-01-10,8.03,8.0,8.09,7.94,5021900.0,0.011399999999999999,125036500.0
300502,新易盛,2023-01-11,8.06,7.87,8.08,7.86,5840900.0,0.013300000000000001,144594300.0
300502,新易盛,2023-01-12,7.86,7.93,7.95,7.83,4653300.0,0.0106,114619500.0
300502,新易盛,2023-01-13,8.02,7.87,8.02,7.77,5683900.0,0.013000000000000001,138603300.0
300502,新易盛,2023-01-16,7.83,8.08,8.17,7.82,8230700.0,0.018799999999999997,206325500.0
300502,新易盛,2023-01-17,8.09,8.1,8.15,8.02,4172800.0,0.0095,104841000.0
300502,新易盛,2023-01-18,8.1,8.15,8.18,8.01,5902800.0,0.013500000000000002,148763500.0
300502,新易盛,2023-01-19,8.11,8.2,8.21,8.07,7067000.0,0.0161,178854500.0
300502,新易盛,2023-01-20,8.17,8.26,8.33,8.17,7420700.0,0.0169,189840400.0
300502,新易盛,2023-01-30,8.38,8.32,8.52,8.29,9410500.0,0.0215,243235500.0
300502,新易盛,2023-01-31,8.23,8.09,8.29,8.0,18220900.0,0.0415,458046700.0
300502,新易盛,2023-02-01,8.09,8.33,8.33,8.09,14832400.0,0.0338,378317900.0
300502,新易盛,2023-02-02,8.33,8.46,8.59,8.33,16100000.0,0.036699999999999997,421116500.0
300502,新易盛,2023-02-03,8.56,8.55,8.73,8.33,17834400.0,0.0407,469283600.0
300502,新易盛,2023-02-06,8.55,8.86,8.95,8.54,27964900.0,0.0637,755152100.0000001
300502,新易盛,2023-02-07,8.73,9.48,9.61,8.72,48835400.0,0.11130000000000001,1387999200.0000002
300502,新易盛,2023-02-08,9.9,9.35,9.97,9.27,34724400.0,0.07919999999999999,1006433300.0
300502,新易盛,2023-02-09,9.32,10.59,10.59,9.2,51052100.0,0.1164,1554401600.0
300502,新易盛,2023-02-10,10.59,10.76,11.63,10.51,68918500.0,0.15710000000000002,2278273200.0
300502,新易盛,2023-02-13,10.96,11.22,11.32,10.78,48047300.0,0.10949999999999999,1595666800.0
300502,新易盛,2023-02-14,10.96,10.72,11.12,10.6,38214700.0,0.08710000000000001,1242231100.0
300502,新易盛,2023-02-15,10.7,10.98,11.16,10.62,36126000.0,0.0823,1187262000.0
300502,新易盛,2023-02-16,10.86,10.4,10.86,10.19,37892200.0,0.0864,1210343800.0
300502,新易盛,2023-02-17,10.53,10.17,10.63,10.1,25048000.0,0.0571,780543800.0
300502,新易盛,2023-02-20,10.14,10.33,10.4,10.04,18259100.0,0.0416,567104900.0
300502,新易盛,2023-02-21,10.28,10.17,10.5,10.05,19759600.0,0.045,613640400.0
300502,新易盛,2023-02-22,10.07,10.22,10.43,9.95,18120200.0,0.041299999999999996,559978600.0
300502,新易盛,2023-02-23,10.11,10.1,10.25,9.98,12059700.0,0.0275,370138900.0
300502,新易盛,2023-02-24,10.17,10.37,10.65,10.16,28588400.0,0.0652,903104200.0
300502,新易盛,2023-02-27,10.27,10.19,10.49,10.14,17019300.0,0.0388,530634700.0
300502,新易盛,2023-02-28,10.56,10.66,10.95,10.43,36012500.0,0.0821,1158912100.0
300502,新易盛,2023-03-01,10.56,11.02,11.24,10.56,35749200.0,0.0815,1180946600.0
300502,新易盛,2023-03-02,11.0,11.11,11.61,10.85,37131900.0,0.08460000000000001,1255183000.0
300502,新易盛,2023-03-03,10.96,10.78,11.1,10.58,32747200.0,0.0746,1067667200.0
300502,新易盛,2023-03-06,10.74,10.65,11.0,10.59,20051500.0,0.045700000000000005,651275600.0
300502,新易盛,2023-03-07,10.63,10.02,10.7,10.01,31625600.0,0.0721,983482899.9999999
300502,新易盛,2023-03-08,10.03,10.26,10.35,10.03,20994900.0,0.0479,651579100.0
300502,新易盛,2023-03-09,10.24,10.36,10.52,9.99,18201800.0,0.0415,563213300.0
