股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300602,飞荣达,2023-01-03,14.26,14.9,14.98,14.12,4419400.0,0.013999999999999999,65725100.0
300602,飞荣达,2023-01-04,14.96,15.22,15.42,14.73,4469000.0,0.014199999999999999,68202800.0
300602,飞荣达,2023-01-05,15.29,15.42,15.62,15.17,4204500.0,0.0134,65333700.0
300602,飞荣达,2023-01-06,15.42,15.43,15.67,15.28,3329200.0,0.0106,51940000.0
300602,飞荣达,2023-01-09,15.42,15.8,15.9,15.33,5031900.0,0.016,79762500.0
300602,飞荣达,2023-01-10,15.78,15.85,16.02,15.65,4053200.0,0.0129,64621400.0
300602,飞荣达,2023-01-11,15.87,15.57,15.94,15.56,3277700.0,0.0104,51886600.0
300602,飞荣达,2023-01-12,15.56,15.63,15.74,15.32,3088900.0,0.0098,48620200.00000001
300602,飞荣达,2023-01-13,15.87,15.58,15.87,15.45,3046000.0,0.0097,47877400.0
300602,飞荣达,2023-01-16,15.5,15.99,16.12,15.48,3687500.0,0.011699999999999999,58995500.0
300602,飞荣达,2023-01-17,15.9,16.05,16.24,15.9,4229500.0,0.0134,68524800.0
300602,飞荣达,2023-01-18,16.02,16.05,16.17,15.93,2189500.0,0.006999999999999999,35437700.0
300602,飞荣达,2023-01-19,16.21,16.1,16.32,15.88,3577800.0,0.011399999999999999,58207200.0
300602,飞荣达,2023-01-20,16.1,16.15,16.34,15.9,3534800.0,0.011200000000000002,57358200.0
300602,飞荣达,2023-01-30,16.33,16.72,16.85,16.32,4378000.0,0.0139,73514500.0
300602,飞荣达,2023-01-31,16.72,16.94,17.12,16.41,7557100.0,0.024,128427099.99999999
300602,飞荣达,2023-02-01,16.91,17.06,17.26,16.79,4797500.0,0.0152,82254200.0
300602,飞荣达,2023-02-02,17.22,17.4,17.57,17.07,5564900.0,0.0177,97701700.0
300602,飞荣达,2023-02-03,17.35,17.17,17.48,16.82,4533200.0,0.0144,78138900.0
300602,飞荣达,2023-02-06,17.16,17.24,17.35,16.87,3731000.0,0.011899999999999999,64637700.00000001
300602,飞荣达,2023-02-07,17.31,17.32,17.43,17.11,3108100.0,0.009899999999999999,54176700.0
300602,飞荣达,2023-02-08,17.37,17.31,17.62,17.26,2838800.0,0.009000000000000001,49713500.0
300602,飞荣达,2023-02-09,17.31,17.54,17.65,17.12,4064100.0,0.0129,71515200.0
300602,飞荣达,2023-02-10,17.55,17.63,18.07,17.37,4476800.0,0.014199999999999999,79775500.0
300602,飞荣达,2023-02-13,17.47,17.34,17.76,17.31,4268100.0,0.013600000000000001,75215700.0
300602,飞荣达,2023-02-14,17.42,17.53,17.65,17.27,4227400.0,0.0134,74418100.0
300602,飞荣达,2023-02-15,17.49,17.57,17.8,17.47,2527200.0,0.008,44789000.0
300602,飞荣达,2023-02-16,17.64,16.96,17.73,16.83,4534200.0,0.0144,78986300.0
300602,飞荣达,2023-02-17,17.12,16.59,17.12,16.57,4054500.0,0.0129,68303400.0
300602,飞荣达,2023-02-20,16.72,16.62,16.74,16.28,3170600.0,0.0101,52678000.0
300602,飞荣达,2023-02-21,16.72,16.73,17.02,16.53,2769400.0,0.0088,46759200.0
300602,飞荣达,2023-02-22,16.6,16.56,16.85,16.41,2574400.0,0.008199999999999999,43164300.0
300602,飞荣达,2023-02-23,16.63,16.65,16.82,16.49,2147800.0,0.0068000000000000005,36100400.0
300602,飞荣达,2023-02-24,16.66,16.54,17.02,16.5,3755000.0,0.011899999999999999,63142100.0
300602,飞荣达,2023-02-27,16.59,16.4,16.75,16.37,2908100.0,0.0092,48349799.99999999
300602,飞荣达,2023-02-28,16.4,16.47,16.67,16.15,2450900.0,0.0078000000000000005,40438700.0
300602,飞荣达,2023-03-01,16.52,16.59,16.63,16.28,2084700.0,0.0066,34721300.0
300602,飞荣达,2023-03-02,16.59,16.54,16.85,16.42,2617200.0,0.0083,43741200.0
300602,飞荣达,2023-03-03,16.53,16.37,16.65,16.16,2256600.0,0.0072,37220200.0
300602,飞荣达,2023-03-06,16.29,16.54,16.85,16.17,3880300.0,0.0123,64785800.0
300602,飞荣达,2023-03-07,16.7,16.2,16.72,16.2,2684300.0,0.0085,44376700.0
300602,飞荣达,2023-03-08,16.36,17.12,17.12,16.21,6272700.0,0.0199,106704599.99999999
300602,飞荣达,2023-03-09,17.04,16.61,17.08,16.38,7463300.0,0.023700000000000002,124754900.0
300602,飞荣达,2023-03-10,16.45,16.43,16.8,16.27,4258800.0,0.013500000000000002,70676200.0
300602,飞荣达,2023-03-13,16.42,16.28,16.55,16.22,3248000.0,0.0103,53494300.0
300602,飞荣达,2023-03-14,16.39,16.42,16.55,15.97,3949400.0,0.0125,64563600.0
300602,飞荣达,2023-03-15,16.43,16.58,16.99,16.3,3937400.0,0.0125,66376100.0
300602,飞荣达,2023-03-16,16.58,15.99,16.76,15.97,3280200.0,0.0104,53694100.0
300602,飞荣达,2023-03-17,15.97,15.73,16.33,15.6,4926300.0,0.015600000000000001,78699300.0
300602,飞荣达,2023-03-20,15.78,16.08,16.23,15.67,4515200.0,0.0143,72833300.0
300602,飞荣达,2023-03-21,16.23,16.27,16.35,15.95,2744800.0,0.0087,44667299.99999999
300602,飞荣达,2023-03-22,16.45,16.82,17.02,16.28,4848100.0,0.0154,82125000.0
300602,飞荣达,2023-03-23,16.66,16.71,16.86,16.47,4367900.0,0.0139,73291800.0
300602,飞荣达,2023-03-24,16.72,17.22,17.32,16.62,5264500.0,0.0167,90959000.0
300602,飞荣达,2023-03-27,17.55,17.03,17.55,16.91,5014500.0,0.0159,86181800.0
300602,飞荣达,2023-03-28,17.16,17.23,17.81,17.05,7879800.0,0.025,137902200.0
300602,飞荣达,2023-03-29,17.43,17.78,18.2,17.37,10012100.0,0.0317,179940099.99999997
300602,飞荣达,2023-03-30,17.7,18.17,18.27,17.49,9088000.0,0.0288,164373300.00000003
300602,飞荣达,2023-03-31,18.36,18.28,18.5,17.99,6990100.0,0.022099999999999998,128491800.0
300602,飞荣达,2023-04-03,18.12,18.59,18.83,18.11,8681400.0,0.0275,161379300.0
300602,飞荣达,2023-04-04,18.67,18.66,18.82,18.31,5572600.0,0.0176,104278900.0
300602,飞荣达,2023-04-06,18.47,18.55,18.82,18.39,5257600.0,0.0166,98210500.0
300602,飞荣达,2023-04-07,18.55,18.41,18.67,18.24,5187800.0,0.016399999999999998,96408300.0
300602,飞荣达,2023-04-10,18.4,18.4,18.58,18.19,4141400.0,0.0131,76511900.0
300602,飞荣达,2023-04-11,18.21,18.12,18.42,18.05,4009800.0,0.0127,73502200.0
300602,飞荣达,2023-04-12,18.23,18.55,18.64,17.97,5345500.0,0.0169,98745100.0
300602,飞荣达,2023-04-13,18.58,18.04,18.75,17.97,4794000.0,0.0152,87585600.0
300602,飞荣达,2023-04-14,18.05,17.9,18.32,17.76,4101400.0,0.013000000000000001,74188600.0
300602,飞荣达,2023-04-17,17.87,17.89,18.14,17.73,3195300.0,0.0101,57689900.0
300602,飞荣达,2023-04-18,17.67,17.44,17.74,17.32,4178900.0,0.0132,73471400.0
300602,飞荣达,2023-04-19,17.48,17.62,17.83,17.48,2913000.0,0.0092,51805600.00000001
300602,飞荣达,2023-04-20,17.64,18.05,18.67,17.23,11960900.0,0.0379,215675000.0
300602,飞荣达,2023-04-21,17.95,16.58,17.96,16.52,9903400.0,0.031400000000000004,170857300.0
300602,飞荣达,2023-04-24,17.54,19.92,19.92,17.54,23200900.0,0.0735,443837600.0
300602,飞荣达,2023-04-25,19.84,21.01,21.1,18.37,43062700.0,0.1364,861649200.0
300602,飞荣达,2023-04-26,20.9,21.87,22.82,20.17,46191800.0,0.1463,1002648900.0
300602,飞荣达,2023-04-27,21.27,19.49,21.32,18.92,36541100.0,0.1157,739441200.0
300602,飞荣达,2023-04-28,18.07,18.92,19.34,18.06,30195200.0,0.0956,566681700.0
300602,飞荣达,2023-05-04,18.42,16.78,18.46,16.47,29948700.0,0.09480000000000001,516156900.0
300602,飞荣达,2023-05-05,16.74,14.87,16.78,14.7,29061100.0,0.0919,447937500.0
300602,飞荣达,2023-05-08,14.82,14.57,15.04,14.44,16062200.0,0.0508,237572599.99999997
300602,飞荣达,2023-05-09,14.62,13.97,14.62,13.91,14603000.0,0.0462,208871100.0
300602,飞荣达,2023-05-10,13.98,14.04,14.16,13.76,10011200.0,0.0317,141134300.0
300602,飞荣达,2023-05-11,13.97,13.95,14.08,13.83,7703400.0,0.024399999999999998,108257300.0
300602,飞荣达,2023-05-12,13.88,14.19,14.49,13.62,13327000.0,0.042199999999999994,189567900.0
300602,飞荣达,2023-05-15,14.17,14.09,14.17,13.79,8285700.0,0.0262,116404599.99999999
300602,飞荣达,2023-05-16,13.95,13.7,14.02,13.63,7924400.0,0.025099999999999997,109905500.0
300602,飞荣达,2023-05-17,13.49,13.89,13.91,13.48,6266400.0,0.019799999999999998,86999100.0
300602,飞荣达,2023-05-18,13.9,14.1,14.36,13.9,10227200.0,0.0323,146361300.0
300602,飞荣达,2023-05-19,13.97,14.52,14.63,13.93,11850500.0,0.0375,172039700.0
300602,飞荣达,2023-05-22,14.44,14.6,14.84,14.27,10561700.0,0.0334,155461900.0
300602,飞荣达,2023-05-23,14.56,14.32,14.57,14.28,7003700.0,0.0222,101635600.0
300602,飞荣达,2023-05-24,14.2,14.42,14.6,14.19,5640100.0,0.0178,82075400.00000001
300602,飞荣达,2023-05-25,14.51,14.36,14.75,14.07,8220200.0,0.0258,119297200.0
300602,飞荣达,2023-05-26,14.36,14.67,14.72,14.18,8776100.0,0.0275,129011400.0
300602,飞荣达,2023-05-29,14.71,14.9,15.12,14.44,10601300.0,0.0332,158017400.0
300602,飞荣达,2023-05-30,14.77,15.02,15.04,14.6,8881200.0,0.0278,132605300.0
300602,飞荣达,2023-05-31,14.92,15.23,15.26,14.81,7882700.0,0.024700000000000003,119802500.0
300602,飞荣达,2023-06-01,14.82,14.94,15.2,14.45,10269500.0,0.0322,155014900.0
300602,飞荣达,2023-06-02,14.98,14.74,15.15,14.72,8072900.0,0.0253,120885600.0
300602,飞荣达,2023-06-05,14.79,14.77,14.97,14.66,5454700.0,0.0171,81568700.0
300602,飞荣达,2023-06-06,15.06,15.15,15.64,14.98,22062900.0,0.0692,339952400.0
300602,飞荣达,2023-06-07,14.86,14.92,15.13,14.31,14236400.0,0.0446,212598400.0
300602,飞荣达,2023-06-08,14.96,14.48,14.96,14.37,8238900.0,0.0258,120949700.0
300602,飞荣达,2023-06-09,14.42,14.82,15.16,14.42,8791500.0,0.0276,130988900.0
300602,飞荣达,2023-06-12,14.78,15.22,15.43,14.77,12877100.0,0.0404,198166500.0
300602,飞荣达,2023-06-13,15.34,15.59,15.74,15.14,12613300.0,0.0395,196701800.0
300602,飞荣达,2023-06-14,15.75,16.85,17.0,15.67,28414800.0,0.0891,469681300.0
300602,飞荣达,2023-06-15,16.73,16.34,17.0,16.18,16985100.0,0.053200000000000004,282281100.0
300602,飞荣达,2023-06-16,16.23,16.52,16.7,15.93,11558800.0,0.0362,191127599.99999997
300602,飞荣达,2023-06-19,16.76,16.98,17.38,16.54,21945400.0,0.0688,376283600.0
300602,飞荣达,2023-06-20,16.85,16.47,16.92,16.32,13326600.0,0.0418,222129100.0
300602,飞荣达,2023-06-21,16.41,15.93,16.5,15.87,10795700.0,0.0338,175137599.99999997
300602,飞荣达,2023-06-26,15.74,15.06,15.92,14.96,10681900.0,0.0335,165136200.0
300602,飞荣达,2023-06-27,15.07,15.72,16.01,15.07,12681300.0,0.0398,199624400.0
300602,飞荣达,2023-06-28,15.71,15.01,15.72,14.77,10485300.0,0.0329,159163200.0
300602,飞荣达,2023-06-29,15.04,15.09,15.25,14.7,6252000.0,0.0196,94607300.0
300602,飞荣达,2023-06-30,15.03,15.36,15.42,14.95,4941700.0,0.0155,76031400.0
300602,飞荣达,2023-07-03,15.36,15.02,15.72,14.91,7432200.0,0.0233,113341299.99999999
300602,飞荣达,2023-07-04,14.97,15.15,15.33,14.96,5685800.0,0.0178,86978200.0
300602,飞荣达,2023-07-05,15.14,14.94,15.3,14.91,5508600.0,0.0173,83765200.0
300602,飞荣达,2023-07-06,14.88,14.93,15.21,14.82,4444000.0,0.0139,67424200.0
300602,飞荣达,2023-07-07,14.93,14.81,15.17,14.63,6520300.0,0.0204,97554000.0
300602,飞荣达,2023-07-10,14.81,15.33,15.53,14.66,14187700.0,0.044500000000000005,217827599.99999997
300602,飞荣达,2023-07-11,16.07,17.03,17.32,15.87,32923200.0,0.1032,551633600.0
