股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
600584,长电科技,2023-01-03,22.48,22.82,22.88,22.33,12943600.0,0.0073,300896300.0
600584,长电科技,2023-01-04,22.8,22.94,23.36,22.8,18334300.0,0.0103,433550100.0
600584,长电科技,2023-01-05,22.83,23.4,23.6,22.78,23371800.0,0.0131,557969600.0
600584,长电科技,2023-01-06,23.3,23.38,23.6,23.23,17336300.0,0.0097,416384700.0
600584,长电科技,2023-01-09,23.45,23.42,23.7,23.3,14160100.0,0.008,340937400.0
600584,长电科技,2023-01-10,23.85,24.5,24.67,23.77,56330200.0,0.0317,1405665000.0
600584,长电科技,2023-01-11,24.75,25.55,26.72,24.64,103263000.0,0.057999999999999996,2724199500.0
600584,长电科技,2023-01-12,25.55,25.68,25.86,25.16,51981400.0,0.0292,1358899200.0000002
600584,长电科技,2023-01-13,25.85,25.66,25.98,25.3,41990200.0,0.0236,1099997500.0
600584,长电科技,2023-01-16,25.45,25.89,26.05,25.4,42492200.0,0.0239,1122740900.0
600584,长电科技,2023-01-17,25.9,26.09,26.47,25.85,38890400.0,0.0219,1040548600.0
600584,长电科技,2023-01-18,26.06,25.9,26.19,25.84,24120000.0,0.013600000000000001,640679500.0
600584,长电科技,2023-01-19,25.9,26.31,26.37,25.71,31004900.0,0.0174,829269200.0
600584,长电科技,2023-01-20,26.28,26.65,26.68,26.21,33763100.0,0.019,915595200.0
600584,长电科技,2023-01-30,27.09,26.56,27.21,26.5,39233000.0,0.022000000000000002,1074996800.0
600584,长电科技,2023-01-31,26.53,26.08,26.8,26.08,38640100.0,0.0217,1039687000.0
600584,长电科技,2023-02-01,26.23,26.99,27.15,26.22,43251000.0,0.024300000000000002,1186698800.0
600584,长电科技,2023-02-02,27.31,27.01,27.43,26.85,39900400.0,0.022400000000000003,1105432100.0
600584,长电科技,2023-02-03,26.9,27.27,27.32,26.73,35425600.0,0.0199,979539700.0
600584,长电科技,2023-02-06,27.02,26.85,27.15,26.7,24103200.0,0.013500000000000002,662732400.0
600584,长电科技,2023-02-07,26.85,26.77,26.99,26.57,21040100.0,0.0118,574791700.0
600584,长电科技,2023-02-08,26.86,26.35,27.15,26.28,27342800.0,0.0154,743574600.0000001
600584,长电科技,2023-02-09,26.25,27.49,27.5,26.2,48948800.0,0.0275,1356491400.0000002
600584,长电科技,2023-02-10,27.4,27.58,27.98,27.31,40364400.0,0.0227,1137303500.0
600584,长电科技,2023-02-13,27.36,27.63,27.73,27.13,34144400.0,0.0192,958826000.0
600584,长电科技,2023-02-14,27.63,28.26,29.22,27.63,72399100.0,0.0407,2110385100.0
600584,长电科技,2023-02-15,28.2,28.69,28.78,27.99,46093700.0,0.0259,1339084500.0
600584,长电科技,2023-02-16,28.46,27.43,28.6,27.2,49840400.0,0.027999999999999997,1424279800.0
