股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
603083,剑桥科技,2023-01-03,10.27,10.98,11.03,10.27,6993600.0,0.0277,81140600.0
603083,剑桥科技,2023-01-04,10.98,11.17,11.3,10.93,6642100.0,0.0263,79282900.0
603083,剑桥科技,2023-01-05,11.23,11.17,11.27,11.06,5081300.0,0.020099999999999996,60644100.0
603083,剑桥科技,2023-01-06,11.1,11.03,11.25,10.99,3913500.0,0.0155,46576000.0
603083,剑桥科技,2023-01-09,11.0,11.05,11.17,10.94,4155100.0,0.0165,49176400.0
603083,剑桥科技,2023-01-10,11.09,10.92,11.11,10.9,3094500.0,0.0123,36482200.0
603083,剑桥科技,2023-01-11,10.92,10.93,11.2,10.89,4398200.0,0.0174,52083100.00000001
603083,剑桥科技,2023-01-12,10.95,11.0,11.09,10.88,2781000.0,0.011000000000000001,32814400.0
603083,剑桥科技,2023-01-13,11.0,11.03,11.11,10.91,2908000.0,0.0115,34338300.0
603083,剑桥科技,2023-01-16,11.12,11.25,11.33,10.98,4198800.0,0.0166,50495000.0
603083,剑桥科技,2023-01-17,11.25,11.28,11.35,11.18,4029800.0,0.016,48614000.0
603083,剑桥科技,2023-01-18,11.25,11.51,11.55,11.25,6208400.0,0.0246,76011400.0
603083,剑桥科技,2023-01-19,11.41,11.52,11.59,11.39,4546600.0,0.0179,55933200.0
603083,剑桥科技,2023-01-20,11.53,11.6,11.73,11.49,4852800.0,0.0191,60361600.0
603083,剑桥科技,2023-01-30,12.65,12.37,12.65,12.2,20946500.0,0.0825,276151500.0
603083,剑桥科技,2023-01-31,12.37,12.74,12.88,12.3,15334900.0,0.0604,206071900.0
603083,剑桥科技,2023-02-01,12.72,12.93,12.99,12.65,12017900.0,0.0473,164018500.0
603083,剑桥科技,2023-02-02,12.96,12.77,13.15,12.74,11349600.0,0.0447,155978600.0
603083,剑桥科技,2023-02-03,12.77,12.89,13.01,12.71,8131500.0,0.032,111076500.0
603083,剑桥科技,2023-02-06,12.92,13.11,13.23,12.81,10089000.0,0.0397,140279800.0
603083,剑桥科技,2023-02-07,13.19,13.8,13.84,12.91,12174300.0,0.048,175062800.0
603083,剑桥科技,2023-02-08,13.95,13.5,14.2,13.4,11792000.0,0.04650000000000001,170441600.0
603083,剑桥科技,2023-02-09,13.5,14.93,14.93,13.28,17555900.0,0.0692,266000800.00000003
603083,剑桥科技,2023-02-10,16.46,15.24,16.5,15.01,64261900.0,0.2531,1065129400.0
603083,剑桥科技,2023-02-13,15.08,15.75,15.88,15.0,59083700.0,0.2327,961572600.0
603083,剑桥科技,2023-02-14,15.4,15.23,15.44,15.09,33646900.0,0.1325,539673100.0
603083,剑桥科技,2023-02-15,15.36,15.45,15.66,15.11,36209600.0,0.1426,589764900.0
603083,剑桥科技,2023-02-16,15.14,14.53,15.4,14.35,35837600.0,0.1412,564295800.0
603083,剑桥科技,2023-02-17,14.75,14.78,15.49,14.71,26652300.0,0.105,421972500.0
603083,剑桥科技,2023-02-20,15.06,15.4,15.77,14.89,29117700.0,0.11470000000000001,470783200.0
603083,剑桥科技,2023-02-21,15.36,15.46,15.62,15.15,20510800.0,0.0808,332112200.0
603083,剑桥科技,2023-02-22,15.45,15.88,16.16,15.33,25493100.0,0.10039999999999999,423687800.0
603083,剑桥科技,2023-02-23,15.88,15.63,15.96,15.55,13632200.0,0.0537,225018000.0
603083,剑桥科技,2023-02-24,15.69,17.27,17.27,15.69,23844500.0,0.09390000000000001,418589900.0
603083,剑桥科技,2023-02-27,17.52,17.65,17.89,16.93,44505300.0,0.1751,811150700.0000001
603083,剑桥科技,2023-02-28,18.07,19.1,19.16,17.53,45789600.0,0.1801,879501000.0
603083,剑桥科技,2023-03-01,18.71,20.5,21.09,18.71,58328100.0,0.22940000000000002,1223749300.0
603083,剑桥科技,2023-03-02,20.5,22.55,22.63,20.23,71053100.0,0.27949999999999997,1622444800.0
603083,剑桥科技,2023-03-03,21.89,22.1,22.82,21.43,64868900.0,0.2551,1491645000.0
603083,剑桥科技,2023-03-06,22.0,20.7,22.65,20.5,52720800.0,0.20739999999999997,1161716500.0
603083,剑桥科技,2023-03-07,20.88,20.56,21.04,20.11,41328100.0,0.16260000000000002,883871400.0
603083,剑桥科技,2023-03-08,20.4,20.65,20.75,20.13,31347000.0,0.1233,666835000.0
603083,剑桥科技,2023-03-09,20.4,20.67,20.99,19.59,38107600.0,0.1499,804066000.0
603083,剑桥科技,2023-03-10,20.31,21.07,21.76,20.31,43707400.0,0.17190000000000003,961155100.0
603083,剑桥科技,2023-03-13,21.07,21.73,22.2,20.08,48974600.0,0.19260000000000002,1085802300.0
603083,剑桥科技,2023-03-14,21.92,23.27,23.98,21.88,59939700.0,0.23579999999999998,1441461700.0000002
603083,剑桥科技,2023-03-15,23.88,21.8,24.08,21.51,54601700.0,0.2148,1288743400.0
603083,剑桥科技,2023-03-16,21.53,21.74,22.45,21.0,39446200.0,0.1552,886918900.0
603083,剑桥科技,2023-03-17,21.97,22.98,23.55,21.77,39412000.0,0.155,925767500.0
603083,剑桥科技,2023-03-20,22.98,25.15,25.36,22.86,51361200.0,0.20199999999999999,1312601300.0
