股票代码,行业代码,行业名称
000988,640703,640703
001309,270104,270104
002008,640703,640703
002156,270107,270107
002222,270303,270303
002273,270303,270303
002281,730204,730204
002384,270202,270202
002463,270202,270202
002475,270504,270504
002484,270203,270203
002709,630702,630702
002837,640209,640209
300260,640108,640108
300274,630503,630503
300394,730204,730204
300395,650201,650201
300475,270401,270401
300499,640209,640209
300502,730204,730204
300570,730204,730204
300602,270504,270504
300666,270103,270103
301308,270104,270104
600584,270107,270107
603019,710101,710101
603083,730206,730206
603893,270104,270104
